,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
0,0.9798,0.9798,1.0,0.9089,0.0379,0.9798,0.0766,0.9025,10.0,25,2431,7710,2431,7710,2481,14480,2255,6787,2431,7710,190,26367,94,27696,2239,9872,9
1,0.9218,0.9173,1.0,0.819,0.0652,0.8933,0.1327,0.8645,10.5385,25,3265,14147,3249,12644,3542,14521,2901,6235,3164,7082,470,22707,231,27849,3062,12941,8
2,1.0,1.0,1.0,0.9372,0.0294,1.0,0.0558,1.0,11.1538,25,1973,8115,1973,8115,1973,8115,1849,7145,1973,8115,110,26431,58,27606,1973,8115,6
3,1.0,1.0,1.0,0.9874,0.0,1.0,0.0,1.0,8.0769,25,1028,8982,1028,8982,1028,8982,1015,7907,1028,8982,0,26251,0,27464,1028,8982,6
4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,25,1,26053,1,26053,1,29355,1,26053,1,26053,0,24915,1,26053,1,28381,27
5,1.0,1.0,1.0,0.9874,0.0,1.0,0.0,1.0,8.0769,25,1028,8982,1028,8982,1028,8982,1015,7907,1028,8982,0,26251,0,27464,1028,8982,6
6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0769,25,602,8303,602,8303,602,8303,602,8303,602,8303,0,26212,0,27425,602,8303,6
7,1.0,1.0,1.0,1.0,0.8686,1.0,0.289,1.0,2.6154,25,2017,27854,2017,15703,2017,29708,2017,27854,2017,27100,583,25583,1752,26644,2017,27142,22
8,1.0,1.0,1.0,0.9874,0.0,1.0,0.0,1.0,8.0769,25,1028,8982,1028,8982,1028,8982,1015,7907,1028,8982,0,26251,0,27464,1028,8982,6
9,0.8751,0.8751,1.0,0.6389,0.3082,0.7596,0.3676,0.6621,10.3846,25,4535,21172,4535,14778,5182,22178,3311,6112,3936,8667,1905,25949,1597,24639,3431,27652,14
10,1.0,0.9375,1.0,0.803,0.0625,0.9375,0.0044,0.9375,11.4615,25,4801,14164,4501,8348,4801,14016,3855,5543,4501,8348,21,23850,300,25183,4501,8348,9
11,0.8336,0.8336,1.0,0.5652,0.3318,0.6926,0.3751,0.6663,11.3077,25,6058,26233,6058,19636,7267,28907,4107,5614,5033,8246,2726,23007,2411,23702,4842,19360,9
12,1.0,0.9926,1.0,0.8471,0.2257,0.9926,0.1631,0.9039,15.3846,25,5578,13065,5537,7534,5578,13502,4725,4823,5537,7534,910,19716,1259,20085,5042,6977,5
13,0.9955,0.9811,1.0,0.6486,0.5301,0.7983,0.7207,0.7297,13.7692,25,8910,20746,8781,16741,8950,29073,5805,4287,7145,6645,6450,22813,4744,26056,6531,6148,5
14,0.9755,0.7437,1.0,0.4599,0.5958,1.0,0.5867,0.5442,12.8462,25,14443,26152,11011,11579,14806,27630,6809,4490,14806,23807,8686,22514,8821,26481,8058,6133,5
15,1.0,0.9944,1.0,0.6634,0.4102,1.0,0.4204,1.0,18.5385,25,14696,13976,14613,9991,14696,13976,9749,2242,14696,13976,6178,2778,6029,9493,14696,13976,6
16,1.0,0.9386,1.0,0.7018,0.367,1.0,0.1897,0.9386,15.8462,25,10197,20254,9571,8152,10197,20254,7156,3612,10197,20254,1934,4578,3742,20287,9571,8152,9
17,0.9954,0.9059,1.0,0.629,0.7218,0.828,0.17,0.828,16.0,25,12440,21675,11321,11524,12497,21172,7861,3324,10347,8037,2125,4635,9020,22642,10347,8037,8
18,1.0,0.9186,1.0,0.6233,0.7565,0.809,0.1685,0.8905,15.8462,25,11934,20554,10962,10507,11934,21183,7439,3491,9655,7322,2011,4598,9028,22763,10627,19267,7
19,1.0,0.964,1.0,0.6045,0.7404,0.7683,0.1634,0.925,14.9231,25,11018,26190,10621,17783,11018,26190,6660,3841,8465,7862,1800,4554,8158,22332,10192,23844,7
20,1.0,0.9943,1.0,0.6612,0.412,1.0,0.4191,1.0,18.5385,25,14969,13941,14884,9923,14969,13941,9898,2195,14969,13941,6273,2760,6167,9485,14969,13941,6
21,1.0,0.9944,1.0,0.6372,0.6156,1.0,0.6372,1.0,18.6154,25,20998,14438,20880,9526,20998,14438,13380,1521,20998,14438,13380,1521,12927,14925,20998,14438,6
22,1.0,0.9937,1.0,0.6433,0.4033,1.0,0.4082,1.0,18.3846,25,19134,8457,19014,3862,19134,8457,12309,1647,19134,8457,7811,1587,7716,10294,19134,8457,6
23,1.0,0.9944,1.0,0.6492,0.4226,1.0,0.4113,1.0,18.5385,25,16979,13831,16884,9554,16979,13831,11023,1891,16979,13831,6984,1713,7176,9514,16979,13831,6
24,0.9932,0.9207,1.0,0.5843,0.75,0.7545,0.158,0.9253,15.0,25,12285,27035,11388,15157,12369,25898,7227,3581,9333,7460,1954,4582,9277,22082,11445,23560,7
25,0.9906,0.9268,1.0,0.6016,0.7418,0.7664,0.1626,0.925,15.0,25,11083,27279,10369,15534,11188,26146,6731,3807,8575,7809,1819,4557,8299,22295,10349,23802,7
26,0.9931,0.9782,1.0,0.6443,0.5316,0.7951,0.7201,0.7256,13.7692,25,9059,20688,8923,16677,9122,29018,5877,4247,7253,8500,6569,22785,4849,26048,6619,6098,5
