,index,opt_reward
0,0,6062.5833
1,1,10393.6667
2,2,14801.625
3,3,17223.7083
4,4,14390.4583
5,5,2105.375
6,6,2215.625
7,7,1123.0
8,8,1321.625
9,9,16358.0
