,index,opt_reward
0,0,9612.5847
1,1,16739.2043
2,2,24721.0981
3,3,25994.3333
4,4,16631.625
5,5,6013.2917
6,6,3418.7679
7,7,2019.4583
8,8,1960.0474
9,9,27295.625
