,index,opt_reward
0,0,5158.625
1,1,8637.5833
2,2,11971.25
3,3,14134.1667
4,4,11590.5417
5,5,3093.3601
6,6,2080.9167
7,7,1327.0417
8,8,1252.8379
9,9,13380.2083
