,index,opt_reward
0,0,9871.7431
1,1,16955.2894
2,2,24027.1267
3,3,29825.139
4,4,20728.0576
5,5,4509.1239
6,6,3552.2151
7,7,1854.1667
8,8,2020.1503
9,9,28510.2896
