,index,opt_reward
0,0,2523.875
1,1,4440.75
2,2,6346.2083
3,3,9285.75
4,4,6445.75
5,5,1930.125
6,6,990.4583
7,7,698.0
8,8,631.6667
9,9,9159.9583
