x,n_points,theta,spans,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,knapsack_mean,knapsacks_min,knapsack_max,knapsack_std,knapsack_var,BIN_mean,BIN_min,BIN_max,BIN_std,BIN_var
43,75,0.8,30000,0.9833466666666666,0.9297,1.0,0.023602611388738665,0.0005570832643678162,0.9622166666666664,0.7946,1.0,0.050083489490452146,0.0025083559195402307,0.9373166666666666,0.7181,1.0,0.07529716340003757,0.0056696628160919586,0.5123366666666668,0.1333,0.8128,0.17242250929807187,0.029729521712643682,0.9683933333333333,0.7946,1.0,0.04582230998055446,0.002099684091954021,0.5403633333333333,0.17,0.9398,0.17728809688992256,0.03143106929885057,0.9981233333333334,0.9679,1.0,0.006616577057211875,4.3779091954022564e-05,0.94082,0.4862,1.0,0.11465765054101798,0.0131463768275862
44,75,1.0,1500,0.87394,0.7838,0.9807,0.04716803856499618,0.002224823862068967,0.8278599999999999,0.7523,0.9496,0.053352979427517495,0.002846540413793105,0.9801499999999999,0.9538,0.9966,0.01005679560948886,0.00010113913793103441,0.4635466666666668,0.2532,0.6425,0.1010892495165341,0.010219036367816091,0.94425,0.8897,0.9793,0.02454072969153738,0.0006022474137931044,0.5684699999999999,0.4139,0.7328,0.07991743217544744,0.006386795965517243,0.9910866666666667,0.9809,0.9994,0.004747829510152086,2.2541885057470993e-05,0.73427,0.6427,0.8451,0.06365173643919025,0.00405154355172414
45,75,1.0,10000,0.7980933333333333,0.6622,0.8942,0.05429053345647382,0.002947462022988503,0.7080300000000002,0.5752,0.8391,0.0666503286589408,0.004442266310344825,0.9027066666666667,0.8029999999999999,0.9743,0.043839455802478555,0.0019218978850574708,0.3903399999999999,0.2392,0.6494,0.09776930834966778,0.009558837655172417,0.8447900000000002,0.7345,0.937,0.05755273653579489,0.00331231748275862,0.4402733333333334,0.2591,0.6956,0.11702605643640851,0.013695097885057468,0.9732533333333335,0.9261,1.0,0.016805802227378097,0.0002824349885057466,0.7311966666666666,0.469,0.9127,0.08915633492619167,0.007948852057471265
46,75,1.0,20000,0.8981766666666664,0.7685,0.9931,0.05425090930961013,0.002943161160919543,0.7903700000000001,0.6386,0.9712,0.08331433270742053,0.006941278034482762,0.8057166666666666,0.5187,0.9661,0.10687359947324603,0.011421966264367815,0.3530166666666667,0.08199999999999999,0.6529,0.1429242989483771,0.020427355229885067,0.8615166666666664,0.6715,1.0,0.07018695272864706,0.004926208333333337,0.34407999999999994,0.0553,0.6217,0.14055029385756643,0.019754385103448277,0.9822266666666668,0.897,1.0,0.02503163423837277,0.0006265827126436759,0.7792566666666668,0.4328,0.9822,0.14879054401575975,0.022138625988505738
47,75,1.0,30000,0.9698666666666667,0.7955,1.0,0.047376462461883956,0.0022445291954022997,0.94029,0.7951,1.0,0.057500604794420575,0.0033063195517241423,0.9480999999999999,0.7899,1.0,0.05719234937984458,0.0032709648275862087,0.45375,0.0926,0.8485,0.20955827228424703,0.04391466948275862,0.9664133333333333,0.8772,1.0,0.04151860184122984,0.001723794298850574,0.4663866666666668,0.1643,0.9358,0.20654606855803767,0.0426612784367816,0.9977833333333334,0.9689,1.0,0.00786713299806194,6.189178160919503e-05,0.9814966666666667,0.8851,1.0,0.03205580783714482,0.001027574816091955
48,100,0.0,1500,0.9122599999999998,0.8342,0.9553,0.028213418182085653,0.0007959969655172412,0.8741500000000001,0.7949,0.9348,0.034907412017981226,0.0012185274137931001,0.9763166666666666,0.9576,0.9903,0.008917595289489546,7.952350574712614e-05,0.5817866666666667,0.4056,0.7092,0.06840456091535847,0.004679183954022988,0.8381033333333332,0.7418,0.9133,0.0446718493733669,0.0019955741264367807,0.7592166666666667,0.6611,0.8399,0.043935344999554586,0.001930314540229886,0.9938933333333332,0.9885,0.9985,0.0028320740947511947,8.020643678160798e-06,0.6568933333333333,0.5766,0.755,0.049711449686013556,0.002471228229885057
49,100,0.0,10000,0.77617,0.6923,0.8585,0.0448712038063888,0.002013424931034481,0.6635533333333332,0.5391,0.7653,0.043705264681952675,0.0019101501609195396,0.8784333333333334,0.7665,0.9753,0.05103165571542307,0.0026042298850574718,0.46709999999999996,0.3118,0.6377,0.08533516880209918,0.0072820910344827605,0.6619133333333331,0.4261,0.8623,0.09315492373509815,0.008677839816091952,0.5800266666666667,0.4265,0.6832,0.07045644256454175,0.004964110298850572,0.9689666666666665,0.9398,0.9882,0.013451376889742008,0.00018093954022988537,0.5166666666666667,0.4254,0.6113,0.04758129401592484,0.002263979540229885
50,100,0.0,20000,0.7848100000000001,0.6303,0.9236,0.07231777265222783,0.005229860241379311,0.6667966666666666,0.5241,0.8017,0.0699854984157843,0.004897969988505746,0.7849466666666668,0.5393,0.9281,0.08689997711730715,0.007551606022988507,0.5597666666666666,0.4322,0.7236,0.07866767873886277,0.006188603678160921,0.6608833333333332,0.4927,0.8597,0.10108953724411783,0.010219094540229887,0.5268033333333334,0.3378,0.7365,0.10603662179133932,0.01124376516091954,0.9722966666666669,0.9314,1.0,0.023736041027900185,0.0005633996436781609,0.5880666666666666,0.4213,0.7883,0.09766313084494467,0.009538087126436784
51,100,0.0,30000,0.9525366666666668,0.8279,1.0,0.05355571049324974,0.0028682141264367803,0.8394066666666669,0.6763,1.0,0.08109818201684166,0.0065769151264367795,0.8589966666666665,0.6744,1.0,0.08204595635388125,0.006731538954022987,0.6659033333333333,0.3474,1.0,0.1649443301767941,0.02720663205747127,0.8812366666666666,0.6967,1.0,0.0789398133164551,0.006231494126436781,0.6225133333333336,0.2807,1.0,0.13244868813433278,0.017542654988505744,0.9946699999999999,0.9458,1.0,0.013890834239240967,0.0001929552758620692,0.9315466666666665,0.7032,1.0,0.08396803880185533,0.0070506315402298824
52,100,0.4,1500,0.8931566666666666,0.8446,0.95,0.028118293018937916,0.0007906384022988527,0.8534466666666667,0.7899,0.9354,0.0344803865620916,0.0011888970574712669,0.9788666666666667,0.9488,0.9936,0.00924909439493601,8.554574712643674e-05,0.52402,0.4145,0.6189,0.05143064563414332,0.0026451113103448253,0.8705133333333335,0.7786,0.941,0.04184397730595897,0.0017509184367816095,0.7005233333333335,0.61,0.7904,0.04414493904943306,0.00194877564367816,0.9918466666666664,0.986,0.9977,0.0036828337415387184,1.3563264367816076e-05,0.6972733333333331,0.5565,0.7991,0.052897108540581154,0.0027981040919540234
