,opt_reward,opt,opt_std,knapsack,knapsack_reward,knapsack_cost,knapsack_std,knapsack_std_reward,col,col_reward,col_cost,col_std,col_std_reward,col_na,col_reward_na,col_cost_na,col_na_std,col_std_reward_na,BIN,BIN_reward,BIN_cost,BIN_std,BIN_std_reward,CRp,CRp_reward,CRp_cost,CRp_std,CRp_std_reward,Sw,Sw_reward,Sw_cost,Sw_std,Sw_std_reward,Lp,Lp_reward,Lp_cost,Lp_std,Lp_std_reward,MR,MR_reward,MR_cost,MR_std,MR_std_reward
0,3515.5198,1,0,0.975,3495.0208,9630.1875,0.0448,2356.0591,0.9307,3362.175,9535.9125,0.0521,2364.0262,0.8716,3139.3917,5384.1875,0.0584,2251.6177,0.7645,2815.1958,7189.3917,0.1128,2198.7065,0.0243,74.875,9835.9833,0.0367,96.2743,0.0909,379.4042,9089.2542,0.0564,283.671,0.9452,3370.8458,9537.45,0.0414,2286.7021,0.6474,2320.2917,5402.725,0.1595,1717.2344
1,9178.0188,1,0,0.9745,9125.7542,26337.3,0.0446,6622.7765,0.9479,8900.825,26628.2625,0.0423,6586.9936,0.8967,8324.15,14841.15,0.0506,6261.7782,0.8001,7578.0458,19402.6042,0.0689,6063.1631,0.1004,679.4208,28948.8,0.0539,423.7875,0.1726,1377.0708,25544.4333,0.1393,867.9191,0.9198,8688.4375,24222.7,0.0481,6491.4752,0.7083,5945.35,15397.8708,0.1478,4221.3688
2,13656.1796,1,0,0.9745,13582.7958,41812.1208,0.0445,10278.137,0.9529,13259.4417,41769.6417,0.04,10127.2995,0.9101,12489.35,23465.3167,0.0545,9676.3582,0.8381,11662.0333,31374.6292,0.0479,9374.5003,0.1803,2240.5792,44872.775,0.0712,1438.7589,0.2292,2609.0375,40238.4667,0.1475,1573.0871,0.9191,12765.3,33467.0125,0.0513,9890.0002,0.811,10320.5417,28843.9333,0.1033,7649.0478
