,index,opt_reward
0,0,10135.9167
1,1,18031.9583
2,2,24844.5833
3,3,37310.375
4,4,25382.4167
5,5,5090.0417
6,6,3906.75
7,7,2271.1667
8,8,2337.625
9,9,37286.2917
