,index,opt_reward
0,0,9252.6227
1,1,16135.0228
2,2,21178.1667
3,3,28684.5212
4,4,19118.875
5,5,7873.6632
6,6,3594.3871
7,7,2075.6667
8,8,2188.6201
9,9,29722.4583
