,index,opt_reward
0,0,6565.2083
1,1,11967.9583
2,2,17090.25
3,3,22238.0
4,4,15636.9583
5,5,2110.4583
6,6,2345.5417
7,7,1126.1667
8,8,1373.0417
9,9,21930.625
