,index,opt_reward
0,0,3449.125
1,1,5987.5417
2,2,7793.0417
3,3,10740.625
4,4,7229.7083
5,5,3076.4167
6,6,1379.0417
7,7,764.25
8,8,842.875
9,9,11129.625
