,index,opt_reward
0,0,5112.6659
1,1,8110.7083
2,2,12015.7917
3,3,12614.0833
4,4,10266.3832
5,5,4691.8085
6,6,2111.5822
7,7,1521.2139
8,8,1292.0477
9,9,13084.5417
