,opt_reward,knapsack,knapsack_reward,knapsack_cost,col,col_reward,col_cost,col_na,col_reward_na,col_cost_na,BIN,BIN_reward,BIN_cost,CRp,CRp_reward,CRp_cost,Sw,Sw_reward,Sw_cost,Lp,Lp_reward,Lp_cost,MR,MR_reward,MR_cost
0,4463.9264,0.9625,4296.5292,4222.4083,0.9595,4287.4167,4344.2542,0.9233,4097.0333,2809.325,0.9182,4093.8083,2976.9167,0.0499,271.0375,4143.2125,0.2085,1370.2208,2959.6417,0.9182,4295.925,4347.475,0.773,3160.1042,2569.3667
1,11558.5855,0.9625,11124.9208,10706.8083,0.9568,11083.6625,10752.7083,0.9358,10760.6875,7766.1917,0.8754,9509.975,8044.7333,0.25,4033.5375,11592.1917,0.2864,5050.3833,7350.6042,0.8754,11047.275,9541.1333,0.81,8464.2,7195.6125
2,17528.3074,0.9625,16870.9958,16261.6708,0.9552,16751.9958,16160.8667,0.9454,16511.0042,12782.4542,0.9012,15031.4792,12778.8792,0.3298,6537.9042,17416.8458,0.4138,9134.9208,11257.5583,0.9012,16779.5833,14343.4042,0.8952,14857.7625,13634.55
3,4649.5974,0.9625,4475.2375,7935.0042,0.9338,4408.475,7609.725,0.8893,4164.3833,4013.1833,0.8912,4281.4458,6999.8375,0.2038,1222.9083,8541.275,0.2688,1698.1833,6361.5083,0.8912,4458.3042,7621.4583,0.7408,3219.6417,4148.7917
4,11836.3321,0.9625,11392.2542,17466.2167,0.9535,11348.175,16936.2417,0.9221,10905.375,10489.675,0.9162,11023.0292,15606.1083,0.3624,4519.5458,20547.6875,0.3527,5422.5042,15293.4708,0.9162,11181.775,14168.6583,0.7932,8544.2125,11189.4167
5,17842.3247,0.9625,17173.2375,25967.6917,0.9542,17063.4333,25741.9333,0.9387,16721.9292,17121.3875,0.9304,16793.8208,23170.8958,0.411,7436.3083,29865.3042,0.4666,9315.4667,17327.5,0.9304,16921.35,20765.0708,0.8902,15028.7792,22442.5333
6,5181.8803,0.975,5052.3333,4614.8458,0.9503,4915.1,4532.8125,0.9309,4797.6042,2896.8125,0.8848,4595.0833,4027.025,0.0442,330.0667,4792.5375,0.1278,953.1083,4269.925,0.8848,4958.725,4535.2875,0.7449,3618.3125,3153.2083
7,14069.9329,0.9744,13712.9708,12840.2625,0.9538,13590.8,13020.5208,0.9324,13238.5458,8749.8667,0.8908,12486.55,11153.0042,0.0634,1144.2792,14255.1167,0.1584,3020.3667,10654.6333,0.8908,13397.8792,12684.775,0.7466,8984.6042,8510.725
8,21475.5023,0.9743,20932.4042,20926.475,0.9588,20813.1333,21352.5833,0.9379,20340.6542,14666.4667,0.8913,18779.1708,17751.4583,0.0753,1745.35,22568.6875,0.1948,5653.0625,16956.7208,0.8913,20587.4667,20281.0542,0.8107,15518.1625,15503.9167
9,5568.7436,0.975,5429.525,9449.7625,0.9223,5115.9958,9527.2542,0.8844,4938.6583,4229.7792,0.8132,4672.9917,7143.0333,0.0515,360.2417,9822.7208,0.1398,1059.0125,8818.4667,0.8132,5228.1208,9523.8167,0.6972,3753.4625,5154.525
10,14940.4842,0.9746,14563.7875,26165.0958,0.9536,14345.1042,26609.2042,0.9103,13573.6833,11911.2417,0.8051,12110.7458,18403.3208,0.1122,1825.6,28669.1625,0.2,3719.6625,23457.9583,0.8051,13803.9167,24724.55,0.7011,9189.7083,13960.8042
11,22525.7055,0.9747,21958.4333,40230.2083,0.9616,21767.525,40233.8042,0.9264,20836.3625,19503.7542,0.8269,18266.6333,28311.6292,0.1866,4171.0292,41899.6,0.285,6743.9792,33090.9542,0.8269,20889.9042,33476.5167,0.7862,15788.025,26074.4458
