,index,opt_reward
0,0,14225.6222
1,1,24991.0839
2,2,33342.625
3,3,45286.2917
4,4,29072.6515
5,5,11664.6625
6,6,5489.3247
7,7,3216.125
8,8,3268.1734
9,9,47115.6667
