,index,opt_reward
0,0,8505.891
1,1,15224.7083
2,2,21538.5833
3,3,27771.0833
4,4,17273.9583
5,5,8086.9082
6,6,3522.4583
7,7,2437.7962
8,8,2052.1667
9,9,29149.9583
