,index,opt_reward
0,0,6380.1136
1,1,11122.5516
2,2,16046.7795
3,3,17188.2083
4,4,11112.3333
5,5,5001.4167
6,6,2450.3025
7,7,1563.5
8,8,1441.1961
9,9,17999.3333
