,index,opt_reward
0,0,1840.1667
1,1,3283.4583
2,2,4680.5417
3,3,5578.7083
4,4,4236.875
5,5,993.9167
6,6,693.3333
7,7,398.6667
8,8,422.2917
9,9,5255.125
