,index,opt_reward
0,0,9820.2096
1,1,16834.2227
2,2,22223.4167
3,3,28724.0
4,4,17481.0417
5,5,9212.9376
6,6,4318.935
7,7,2778.0417
8,8,2497.5417
9,9,30161.0417
