,index,opt_reward
0,0,3050.75
1,1,5413.2917
2,2,7383.9167
3,3,10509.5417
4,4,7090.6667
5,5,2311.4167
6,6,1157.625
7,7,664.9583
8,8,696.7917
9,9,10777.1667
