,index,opt_reward
0,0,7779.625
1,1,12242.5833
2,2,18356.8095
3,3,18405.5833
4,4,15634.1231
5,5,5930.3064
6,6,3038.8333
7,7,2004.3838
8,8,1788.0833
9,9,18268.3161
