,index,opt_reward
0,0,12989.2039
1,1,23738.1971
2,2,33235.08
3,3,43795.4583
4,4,28379.25
5,5,9777.7106
6,6,5026.0897
7,7,2939.4093
8,8,2903.1719
9,9,45771.0656
