,APX_ratio,APX_inter_ratio,GEFT_ratio,GW_ratio,GP_ratio,KNAPSACK_reward,APX_reward,GEFT_reward,GW_reward,GP_reward,wind_direction,intersection
0,0.11130762240968278,0.9971358698326435,0.554279733044782,0.222473202078591,0.4449168023305346,1502.0373436807536,167.18820549566024,832.5488578786615,334.16305749027833,668.2816519314911,0,67.97029702970298
1,0.9998858019537038,0.9989135917375016,0.6652381155705224,0.11145972583899498,0.4465888167669829,1498.8358873391207,1498.664723209068,997.0827612429484,167.05983708046517,669.3633454546689,30,48.64356435643565
2,0.9957585827596477,0.7742264134741038,0.44081190794621045,0.11094776001536545,0.4456904415516964,1504.4814505312563,1498.1003169691828,663.1933386783653,166.91884692111074,670.5330019936123,60,38.504950495049506
3,0.9978547585105637,0.7770570071739723,0.887039224140027,0.1113408351887878,0.22377802336644648,1500.7964825761037,1497.5769116944814,1331.2653474963886,167.0999338184184,335.845270346196,90,40.32673267326733
4,1.0,0.8178924959711082,0.5451482252580715,0.09163754012488144,0.09183490521189734,1834.4053583127723,1834.4053583127723,1000.0228254881046,168.10039462768418,168.46244220085,120,39.851485148514854
5,0.9171409533070661,0.9999999999999999,0.5815688714836036,0.1672559634106043,0.25117942605944704,2004.5861662980556,1838.4880675447557,1165.8049145256034,335.27899048375116,503.5108027374529,150,38.24752475247525
6,0.9985105209122435,0.9976407089102117,0.6341126092348762,0.0907079014373038,0.2737603276970391,1841.0105288750997,1838.2683821920007,1167.4079900938689,166.9942015982411,503.9956456785466,180,34.524752475247524
7,1.0,0.9152532755469478,0.5020021771499457,0.33272118093093306,0.3345611862494635,2009.1987933384232,2009.1987933384232,1008.6221685829321,668.5029952445659,672.1999317102935,210,31.138613861386137
8,0.9092173123894531,0.8188357498501257,0.2740620604592226,0.27178619932922377,0.2737366007024762,1844.3466557947004,1676.9119094961334,505.4654446881722,501.2679678240057,504.86518407422113,240,28.465346534653467
9,0.9989093331797728,0.888202262806497,0.4449359828789809,0.11003165317657494,0.6668760978556759,1511.4883708163661,1509.8398406011574,672.5155638793294,166.3115641980927,1007.9754666842512,270,43.13861386138614
10,0.9993241918071976,0.9992756350215405,0.668366087848412,0.22066897234400457,0.22169672243882546,1508.0124565553592,1506.993329382371,1007.9043860145788,332.77155907002896,334.3214190152448,300,57.87128712871287
11,0.9996141228346633,0.9996141228346634,0.6678359783795164,0.22100306275202541,0.4437679701304708,1505.3414228981417,1504.7605460170098,1005.3211619563938,332.68506494798123,668.0223075928229,330,69.0990099009901
