,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
89,0.9901,0.9901,1.0,0.9348,0.0655,0.9901,0.1129,0.9901,20.451,50,18387,21919,18387,14730,18570,22524,17360,22421,18387,21919,2097,18432,1216,23875,18387,14730,35
90,1.0,1.0,1.0,0.9918,0.0982,1.0,0.0986,1.0,24.6863,50,20069,23425,20069,15005,20069,21053,19904,22643,20069,21053,1979,14769,1971,23445,20069,15005,40
91,1.0,1.0,1.0,0.8766,0.0711,1.0,0.1501,1.0,27.0784,50,21983,23579,21983,19196,21983,23418,19270,23557,21983,22340,3300,17146,1562,23319,21983,19196,37
92,1.0,1.0,1.0,0.9165,0.1139,1.0,0.0918,1.0,24.6863,50,20270,23742,20270,15882,20270,23742,18577,21197,20270,22757,1860,13783,2309,23522,20270,18098,38
93,1.0,1.0,1.0,0.9164,0.114,1.0,0.0916,1.0,24.6863,50,20706,24209,20706,16185,20706,24209,18975,21612,20706,23204,1897,14069,2360,24008,20706,18447,38
94,0.9872,0.9872,1.0,0.9319,0.0687,0.9872,0.116,0.9872,24.6863,50,18097,21663,18097,14575,18332,24399,17084,22158,18097,21663,2126,18120,1260,24028,18097,14575,35
95,1.0,1.0,1.0,0.9166,0.1139,1.0,0.1192,1.0,24.6863,50,19691,23144,19691,15499,19691,23144,18049,20666,19691,22187,2348,16433,2242,22893,19691,17656,38
96,1.0,1.0,1.0,0.9915,0.098,1.0,0.0979,1.0,24.6863,50,20609,21635,20609,15419,20609,21635,20434,23271,20609,21635,2017,15191,2020,23318,20609,15419,40
97,1.0,1.0,1.0,0.9166,0.1189,1.0,0.1189,1.0,24.6863,50,19256,22718,19256,15229,19256,22718,17650,20288,19256,21780,2289,16108,2289,23006,19256,17342,37
98,1.0,1.0,1.0,0.8572,0.0692,1.0,0.0832,1.0,27.0784,50,18280,23976,18280,18416,18280,21898,15670,22551,18280,23338,1521,17925,1265,23938,18280,18416,30
99,1.0,1.0,1.0,0.8667,0.07,1.0,0.07,0.8554,25.0392,50,13920,23559,13920,16648,13920,20844,12064,24353,13920,20740,974,19934,974,22325,11907,12011,29
100,1.0,1.0,1.0,0.8713,0.0746,1.0,0.1633,0.9742,25.2745,50,12862,23690,12862,16321,12862,21772,11207,24313,12862,22973,2101,21190,960,21286,12530,14699,26
101,0.9583,0.9583,1.0,0.901,0.0663,0.9583,0.2601,0.8238,24.9608,50,13014,23727,13014,16363,13580,21818,12236,24748,13014,22083,3532,19109,901,21493,11187,17305,25
102,1.0,1.0,1.0,0.7502,0.0484,1.0,0.3077,1.0,28.6078,50,13406,22794,13406,15147,13406,22889,10057,11807,13406,19960,4125,19530,649,19647,13406,15147,25
103,1.0,1.0,1.0,0.8609,0.053,1.0,0.0659,1.0,28.2157,50,15934,22688,15934,15813,15934,21810,13718,23602,15934,21187,1050,18226,845,21666,15934,15813,28
104,1.0,1.0,1.0,0.8693,0.0693,1.0,0.2724,0.8583,24.9608,50,13315,23396,13315,16451,13315,20538,11575,23896,13315,22248,3627,19313,923,21766,11428,11873,29
105,1.0,1.0,1.0,0.8499,0.072,1.0,0.072,0.6067,24.6863,50,19398,24047,19398,19627,19398,23327,16486,23109,19398,24047,1396,16341,1396,23673,11769,16309,19
106,1.0,1.0,1.0,0.9166,0.1093,1.0,0.1147,1.0,20.451,50,19691,23149,19691,15499,19691,23149,18049,20671,19691,22192,2258,16531,2152,22991,19691,17656,38
107,1.0,1.0,1.0,0.9164,0.114,1.0,0.0913,1.0,24.6863,50,21287,24859,21287,16611,21287,22535,19507,22190,21287,23825,1944,14464,2426,23931,21287,16611,40
108,1.0,1.0,1.0,0.9912,0.0305,1.0,0.091,1.0,20.451,50,21815,23064,21815,16447,21815,23064,21623,22213,21815,20980,1985,16308,666,22816,21815,16447,40
109,1.0,1.0,1.0,0.9915,0.0662,1.0,0.0927,1.0,20.451,50,20609,21639,20609,15419,20609,21639,20434,23275,20609,21639,1910,15302,1365,23742,20609,15419,40
110,0.9901,0.9901,1.0,0.9349,0.1131,0.9901,0.1131,0.9901,20.451,50,18676,22179,18676,14890,18862,22793,17634,22689,18676,22179,2134,18679,2134,23697,18676,14890,35
111,1.0,0.9744,1.0,0.9976,0.0091,1.0,0.1331,0.9744,12.6078,50,12076,23669,11767,11640,12076,23560,12047,22523,12076,24196,1607,19096,110,23375,11767,21207,42
112,1.0,0.9757,1.0,0.9192,0.1016,1.0,0.3068,0.9757,19.7843,50,12407,23796,12106,12605,12407,23734,11405,24095,12407,23796,3806,20460,1260,22766,12106,15262,33
113,0.9809,0.9611,1.0,1.0,0.0318,0.9809,0.2721,0.9611,11.549,50,8871,24149,8692,11291,9044,22391,9044,24167,8871,24579,2461,18443,288,23245,8692,18110,44
