,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
0,1.0,0.9858,1.0,0.7921,0.0,0.9858,0.0142,0.9698,13.3529,50,1554,9222,1532,7283,1554,9222,1231,5884,1532,7747,22,11562,0,14776,1507,10226,22
1,1.0,0.9709,1.0,0.7506,0.0291,0.9709,0.0291,0.8194,15.0,50,2165,12112,2102,9142,2165,12050,1625,5662,2102,9909,63,11777,63,14321,1774,9575,26
2,1.0,0.9922,1.0,0.8591,0.0,0.9922,0.0078,0.9922,13.1961,50,1150,9498,1141,7568,1150,9498,988,6041,1141,8027,9,12909,0,14620,1141,8307,16
3,1.0,1.0,1.0,0.82,0.0,1.0,0.0,1.0,8.7647,50,611,9800,611,7938,611,9846,501,6406,611,8388,0,12722,0,14406,611,8663,22
4,1.0,0.962,1.0,1.0,0.0,1.0,0.0,0.962,1.4314,50,474,14680,456,11324,474,14638,474,14797,474,14723,0,12754,0,14788,456,14164,58
5,1.0,1.0,1.0,0.82,0.0,1.0,0.0,1.0,8.7647,50,611,9800,611,7938,611,9846,501,6406,611,8388,0,12722,0,14406,611,8663,22
6,1.0,1.0,1.0,0.9066,0.0,1.0,0.0,1.0,6.8431,50,289,9488,289,7827,289,9570,262,6611,289,8274,0,12666,0,14497,289,8547,23
7,1.0,0.9826,1.0,0.8765,0.0717,1.0,0.0717,0.7297,2.3725,50,2412,14577,2370,10582,2412,14141,2114,14335,2412,13986,173,11726,173,14667,1760,13851,60
8,1.0,1.0,1.0,0.82,0.0,1.0,0.0,1.0,8.7647,50,611,9800,611,7938,611,9846,501,6406,611,8388,0,12722,0,14406,611,8663,22
9,0.9859,0.9495,1.0,0.8023,0.0363,0.9859,0.0363,0.9495,11.7059,50,3282,13740,3161,10998,3329,14686,2671,9009,3282,13740,121,12506,121,14089,3161,10998,40
10,1.0,1.0,1.0,0.6735,0.0234,1.0,0.0326,1.0,12.5686,50,3375,14406,3375,10721,3375,13757,2273,5151,3375,14406,110,12450,79,14044,3375,10721,41
11,0.868,0.834,1.0,0.6364,0.0426,0.8547,0.0463,0.8207,13.5882,50,4498,14585,4322,11718,5182,14685,3298,7878,4429,13668,240,12646,221,14558,4253,10801,36
12,0.9939,0.9709,1.0,0.6828,0.0,0.9709,0.023,0.9669,19.7451,50,4058,11595,3964,8374,4083,13955,2788,5229,3964,9220,94,12840,0,14527,3948,12224,23
13,0.9124,0.8772,1.0,0.5401,0.0041,0.9741,0.041,0.9199,17.2353,50,6048,13842,5815,10318,6629,14662,3580,4944,6457,14480,272,13504,27,14622,6098,12011,24
14,0.9944,0.9519,0.9944,0.7375,0.0581,0.9944,0.105,0.9519,17.4314,50,8520,13547,8156,11475,8520,13547,6319,8448,8520,12585,900,10038,498,14403,8156,11475,30
15,0.9873,0.9873,1.0,0.6278,0.0,0.9873,0.0533,0.704,26.1765,50,10142,12761,10142,11174,10272,14647,6449,5497,10142,12761,548,11495,0,14277,7231,10350,21
16,1.0,0.9758,1.0,0.5997,0.0211,1.0,0.0841,0.9758,22.3725,50,7779,13990,7591,10473,7779,13990,4665,4893,7779,13990,654,11412,164,14355,7591,10473,24
17,0.9974,0.9559,1.0,0.5749,0.0104,0.9974,0.0663,0.9182,23.6275,50,8912,14275,8541,10702,8935,14096,5137,5050,8912,13320,592,10158,93,14172,8204,9913,25
18,0.9847,0.9442,1.0,0.5697,0.0152,0.9847,0.0629,0.9077,22.3333,50,8312,14008,7970,10552,8441,14178,4809,4994,8312,13089,531,11842,128,14722,7662,9775,26
19,0.9777,0.9387,1.0,0.5708,0.0081,0.9777,0.0505,0.9047,20.0196,50,7220,14113,6932,10373,7385,13729,4215,4937,7220,13635,373,12467,60,14321,6681,9610,26
20,0.9872,0.9872,1.0,0.6267,0.0,0.9872,0.0535,0.7039,26.1765,50,10346,12862,10346,11255,10480,14771,6568,5539,10346,12862,561,11642,0,14467,7377,10440,21
21,1.0,1.0,1.0,0.6406,0.057,1.0,0.057,0.8769,26.8824,50,14622,13531,14622,13166,14622,13531,9367,7109,14622,13531,833,11255,833,14026,12822,12319,26
22,1.0,1.0,1.0,0.6182,0.002,1.0,0.052,1.0,29.7451,50,13747,11846,13747,11512,13747,11846,8498,4906,13747,11846,715,11351,27,14501,13747,11512,20
23,1.0,1.0,1.0,0.6275,0.0,1.0,0.055,0.8123,26.8824,50,11894,12296,11894,11999,11894,12296,7464,5922,11894,12296,654,12843,0,14351,9662,11109,22
24,0.9843,0.9441,1.0,0.5706,0.0102,0.9843,0.0613,0.9081,22.3333,50,8013,13892,7686,10491,8141,14057,4645,4973,8013,13892,499,11641,83,14616,7393,9719,26
25,0.9777,0.9385,1.0,0.5702,0.0084,0.9777,0.051,0.9043,20.0196,50,7318,14144,7025,10384,7485,13758,4268,4941,7318,13664,382,12535,63,14404,6769,9621,26
26,0.9742,0.8771,1.0,0.5391,0.0021,0.9742,0.0416,0.7754,17.2353,50,6563,14492,5909,10316,6737,14675,3632,4941,6563,14492,280,13572,14,14654,5224,8642,27
27,0.968,0.8827,1.0,0.567,0.0,0.968,0.0309,0.9292,16.8431,50,4482,14706,4087,10525,4630,14660,2625,5399,4482,14485,143,12871,0,14632,4302,12103,24
28,1.0,0.9867,1.0,0.6315,0.0164,1.0,0.0609,1.0,17.8627,50,4874,13869,4809,10393,4874,13672,3078,4945,4874,13869,297,13235,80,14412,4874,11559,24
29,1.0,1.0,1.0,0.68,0.0213,1.0,0.0297,1.0,11.902,50,3197,14438,3197,10782,3197,13793,2174,5187,3197,14438,95,12361,68,13938,3197,10782,41
30,1.0,0.9663,1.0,0.8426,0.0337,1.0,0.0337,0.9663,11.7059,50,2700,14539,2609,10338,2700,13865,2275,9081,2700,14539,91,12180,91,14204,2609,10338,39
31,1.0,0.9972,1.0,0.6951,0.01,1.0,0.01,0.9747,11.4314,50,2493,12099,2486,8932,2493,11343,1733,5371,2493,9407,25,12016,25,13997,2430,10283,42
32,0.9717,0.9479,1.0,0.6523,0.0,0.9479,0.0238,0.9237,13.6667,50,2778,11885,2710,8834,2859,13806,1865,5618,2710,9620,68,12103,0,14174,2641,9636,30
33,0.9887,0.9619,1.0,0.6635,0.0,0.9887,0.0268,0.9615,19.7843,50,4619,14257,4494,10442,4672,13883,3100,5163,4619,13782,125,13180,0,14553,4492,12143,23
34,0.9738,0.8774,1.0,0.5409,0.0,0.9738,0.0403,0.9201,17.2353,50,6353,14468,5724,10319,6524,14650,3529,4947,6353,14468,263,13437,0,14567,6003,12006,24
35,1.0,0.981,1.0,0.698,0.0,0.981,0.019,0.9649,18.8039,50,3623,11673,3554,8501,3623,11608,2529,5298,3554,9326,69,12580,0,14210,3496,11291,22
36,0.9975,0.9689,1.0,0.6213,0.0,0.959,0.0286,0.9035,13.6667,50,3524,14094,3423,11797,3533,14770,2195,5505,3388,14621,101,12407,0,14064,3192,9430,30
