,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
0,1.0,1.0,1.0,1.0,0.0097,1.0,0.0097,0.7138,10.0,25,828,2412,828,2412,828,2412,828,2412,828,2412,8,3073,8,3073,591,4881,10
1,1.0,1.0,1.0,0.9962,0.015,1.0,0.015,0.8816,10.5385,25,1064,2369,1064,2369,1064,2369,1060,2216,1064,2369,16,3098,16,3098,938,4592,9
2,1.0,1.0,1.0,1.0,0.0162,1.0,0.0162,1.0,11.1538,25,678,2540,678,2540,678,2540,678,2540,678,2540,11,3061,11,3061,678,2540,2
3,1.0,1.0,1.0,0.7661,0.0,1.0,0.0,1.0,8.0769,25,372,2810,372,2810,372,2810,285,2092,372,2810,0,3044,0,3044,372,2810,2
4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,25,1,4797,1,4797,1,4797,1,4797,1,4797,0,3056,0,4879,1,3692,16
5,1.0,1.0,1.0,0.7661,0.0,1.0,0.0,1.0,8.0769,25,372,2810,372,2810,372,2810,285,2092,372,2810,0,3044,0,3044,372,2810,2
6,1.0,1.0,1.0,0.8045,0.0,1.0,0.0,1.0,8.0769,25,220,2951,220,2951,220,2951,177,2197,220,2951,0,3040,0,3040,220,2951,2
7,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.6154,25,1051,4903,1051,4903,1051,4759,1051,4903,1051,4903,0,3114,0,4857,1051,4450,11
8,1.0,1.0,1.0,0.7661,0.0,1.0,0.0,1.0,8.0769,25,372,2810,372,2810,372,2810,285,2092,372,2810,0,3044,0,3044,372,2810,2
9,1.0,1.0,1.0,0.7996,0.0,1.0,0.0,1.0,10.3846,25,1512,4637,1512,4171,1512,4863,1209,2170,1512,4637,0,3201,0,3201,1512,4171,10
10,1.0,0.994,1.0,0.8369,0.006,1.0,0.006,0.994,11.4615,25,1674,4470,1664,4015,1674,4470,1401,1969,1674,4470,10,3188,10,3188,1664,4015,9
11,1.0,1.0,1.0,0.7411,0.0,1.0,0.0,1.0,11.3077,25,2016,4327,2016,3847,2016,4561,1494,1992,2016,4327,0,3302,0,3302,2016,3847,8
12,1.0,0.9801,1.0,0.8305,0.0199,1.0,0.0199,0.9801,15.3846,25,2059,4906,2018,3769,2059,4906,1710,1714,2059,4906,41,3218,41,3218,2018,3769,5
13,1.0,0.9922,1.0,0.7428,0.0078,1.0,0.0078,0.9922,13.7692,25,2823,4941,2801,3290,2823,4508,2097,1522,2823,4941,22,3407,22,3407,2801,3290,5
14,0.902,0.902,1.0,0.4983,0.001,1.0,0.001,0.7469,12.8462,25,4455,4932,4455,4932,4939,4689,2461,1591,4939,4689,5,3834,5,3834,3689,3127,5
15,1.0,0.9845,1.0,0.6534,0.0155,1.0,0.0155,0.9845,18.5385,25,5361,4727,5278,1946,5361,4538,3503,797,5361,4727,83,3985,83,3985,5278,1946,3
16,1.0,0.9923,1.0,0.6886,0.0077,1.0,0.0077,0.9923,15.8462,25,3747,4521,3718,2768,3747,4059,2580,1282,3747,4521,29,3623,29,3623,3718,2768,4
17,1.0,0.9918,1.0,0.7073,0.0082,1.0,0.0082,0.9918,16.0,25,4004,4572,3971,2757,4004,4094,2832,1179,4004,4572,33,3756,33,3756,3971,2757,4
18,1.0,0.9918,1.0,0.7123,0.0082,1.0,0.0082,0.9918,15.8462,25,3764,4624,3733,2847,3764,4156,2681,1239,3764,4624,31,3675,31,3675,3733,2847,4
19,1.0,0.9919,1.0,0.7242,0.0081,1.0,0.0081,0.9919,14.9231,25,3318,4752,3291,3039,3318,4301,2403,1363,3318,4752,27,3538,27,3538,3291,3039,4
20,1.0,0.9844,1.0,0.651,0.0156,1.0,0.0156,0.9844,18.5385,25,5464,4709,5379,1905,5464,4518,3557,780,5464,4709,85,4018,85,4018,5379,1905,3
21,1.0,0.9847,1.0,0.6214,0.0153,1.0,0.4601,0.9847,18.6154,25,7729,4740,7611,1317,7729,4507,4803,541,7729,4740,3556,402,118,4912,7611,1317,3
22,1.0,0.9833,1.0,0.6135,0.0167,1.0,0.454,0.9833,18.3846,25,7205,4863,7085,1287,7205,4268,4420,585,7205,4863,3271,436,120,4595,7085,1287,3
23,1.0,0.9847,1.0,0.6368,0.0153,1.0,0.4713,0.9847,18.5385,25,6217,4973,6122,1641,6217,4421,3959,672,6217,4973,2930,500,95,4277,6122,1641,3
24,1.0,0.9918,1.0,0.7151,0.0082,1.0,0.0082,0.9918,15.0,25,3643,4654,3613,2896,3643,4191,2605,1271,3643,4654,30,3635,30,3635,3613,2896,4
25,1.0,0.992,1.0,0.7228,0.008,1.0,0.008,0.992,15.0,25,3359,4738,3332,3020,3359,4286,2428,1351,3359,4738,27,3550,27,3550,3332,3020,4
26,1.0,0.992,1.0,0.741,0.008,1.0,0.008,0.992,13.7692,25,2865,4923,2842,3267,2865,4489,2123,1508,2865,4923,23,3419,23,3419,2842,3267,5
27,1.0,0.9926,1.0,0.7965,0.0074,1.0,0.0074,0.9926,11.6154,25,2020,4940,2005,3777,2020,4940,1609,1823,2020,4940,15,3242,15,3242,2005,3777,8
28,1.0,0.9924,1.0,0.7687,0.0076,1.0,0.0076,0.9924,11.6923,25,2361,4742,2343,3558,2361,4742,1815,1689,2361,4742,18,3306,18,3306,2343,3558,8
29,1.0,0.9943,1.0,0.8507,0.0057,1.0,0.0057,0.9943,9.9231,25,1587,4531,1578,4077,1587,4531,1350,2007,1587,4531,9,3176,9,3176,1578,4077,12
30,1.0,1.0,1.0,0.8543,0.0,1.0,0.0,1.0,10.3846,25,1235,4827,1235,4368,1235,4827,1055,2277,1235,4827,0,3156,0,3156,1235,4368,10
31,1.0,0.995,1.0,0.9329,0.005,1.0,0.005,0.995,9.9231,25,1193,4825,1187,4375,1193,4825,1113,2188,1193,4825,6,3127,6,3127,1187,4375,12
32,1.0,0.9947,1.0,0.8996,0.0053,1.0,0.0053,0.9947,11.0769,25,1325,4724,1318,4273,1325,4724,1192,2126,1325,4724,7,3142,7,3142,1318,4273,9
