,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
0,1.0,1.0,1.0,0.7511,0.0,1.0,0.0,1.0,13.7451,50,1161,4824,1161,4824,1161,4824,872,3751,1161,4824,0,4678,0,4807,1161,4824,14
1,1.0,1.0,1.0,0.752,0.0,1.0,0.0,1.0,15.1569,50,1516,4781,1516,4551,1516,4781,1140,3548,1516,4781,0,4736,0,4859,1516,4551,12
2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,13.1961,50,706,3887,706,2825,706,3887,706,3887,706,3887,0,4653,0,4789,706,3887,2
3,1.0,1.0,1.0,0.7248,0.0,1.0,0.0,1.0,8.8824,50,367,4175,367,3125,367,4175,266,2829,367,4175,0,4610,0,4746,367,4175,2
4,1.0,1.0,1.0,0.7804,0.0,1.0,0.0,1.0,1.4314,50,387,4734,387,3083,387,4583,302,4875,387,4734,0,4609,0,4679,387,3083,23
5,1.0,1.0,1.0,0.7248,0.0,1.0,0.0,1.0,8.8824,50,367,4175,367,3125,367,4175,266,2829,367,4175,0,4610,0,4746,367,4175,2
6,1.0,1.0,1.0,0.7817,0.0,1.0,0.0,1.0,6.8431,50,197,4328,197,3282,197,4328,154,2935,197,4328,0,4598,0,4922,197,4328,2
7,1.0,1.0,1.0,1.0,0.0,1.0,0.1863,0.7264,2.3725,50,1696,4905,1696,4905,1696,4905,1696,4905,1696,4905,316,4404,0,4795,1232,4900,20
8,1.0,1.0,1.0,0.7248,0.0,1.0,0.0,1.0,8.8824,50,367,4175,367,3125,367,4175,266,2829,367,4175,0,4610,0,4746,367,4175,2
9,1.0,1.0,1.0,1.0,0.0218,1.0,0.1306,1.0,13.0,50,2251,4261,2251,4024,2251,4988,2251,4261,2251,4261,294,4829,49,4948,2251,4024,17
10,1.0,1.0,1.0,0.6981,0.0257,1.0,0.1375,1.0,17.7059,50,2335,4176,2335,3940,2335,4899,1630,2794,2335,4176,321,4563,60,4933,2335,3940,12
11,1.0,0.9094,1.0,1.0,0.0,1.0,0.1589,0.9094,14.1373,50,3090,4895,2810,3692,3090,4895,3090,4895,3090,4895,491,4804,0,4673,2810,3692,15
12,1.0,1.0,1.0,0.7184,0.0,1.0,0.0,1.0,23.1961,50,2642,4976,2642,3763,2642,4976,1898,3051,2642,4976,0,4976,0,4611,2642,3763,10
13,1.0,0.9053,1.0,0.6265,0.0,1.0,0.0383,0.9053,24.5294,50,3917,4790,3546,3233,3917,4790,2454,2338,3917,4790,150,3856,0,4855,3546,3233,9
14,1.0,0.8939,1.0,1.0,0.0517,1.0,0.2248,0.8939,21.3529,50,5201,4110,4649,2937,5201,4979,5201,4110,5201,4110,1169,4590,269,4902,4649,2937,9
15,0.9807,0.9807,1.0,0.6266,0.0,0.9807,0.1941,0.82,29.8627,50,6188,4924,6188,1942,6310,4447,3954,2349,6188,4924,1225,4310,0,4878,5174,3296,6
16,1.0,0.9998,1.0,0.6973,0.037,1.0,0.1196,0.8826,28.6863,50,4516,4344,4515,2704,4516,4344,3149,1984,4516,4344,540,3962,167,4755,3986,3618,7
