,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
229,1.0,0.8993,1.0,0.5797,0.0,1.0,0.7399,0.8993,46.8947,75,15077,4742,13559,1872,15077,4668,8740,1304,15077,4742,11156,3394,0,4982,13559,4925,10
230,1.0,0.9708,1.0,0.6374,0.0,1.0,0.1176,0.814,42.5789,75,12722,4972,12350,3050,12722,4972,8109,1914,12722,4972,1496,3649,0,4992,10356,4664,17
231,1.0,0.8984,1.0,0.5785,0.0,1.0,0.7412,0.8984,46.8947,75,14631,4855,13144,1714,14631,4783,8464,1206,14631,4855,10844,4933,0,4794,13144,4945,10
232,1.0,0.8505,1.0,0.5466,0.0502,1.0,0.7064,0.8505,48.3158,75,13276,4895,11291,1234,13276,4895,7257,895,13276,4895,9378,3870,666,4884,11291,4889,9
233,1.0,0.8998,1.0,0.5803,0.0056,1.0,0.7393,0.8998,46.8947,75,15298,4899,13765,1959,15298,4824,8878,1356,15298,4899,11310,3521,85,4956,13765,1959,11
234,1.0,0.8965,1.0,0.5765,0.0536,1.0,0.7431,0.8965,48.3158,75,13567,4234,12163,1416,13567,4632,7822,1016,13567,4234,10081,4308,727,4932,12163,4362,10
235,0.9883,0.9883,1.0,0.6563,0.0533,0.9883,0.2056,0.9883,48.8684,75,11262,3791,11262,1811,11395,4936,7478,1031,11262,3791,2343,4633,607,4836,11262,4645,9
236,1.0,0.8506,1.0,0.5469,0.1494,1.0,0.7065,0.8506,48.3158,75,11841,4661,10072,1100,11841,4661,6476,795,11841,4661,8366,4813,1769,4947,10072,4353,8
237,1.0,0.8505,1.0,0.5467,0.0553,1.0,0.7067,0.8505,48.3158,75,12558,4920,10680,1150,12558,4920,6865,835,12558,4920,8875,3624,694,4838,10680,4397,8
238,1.0,0.8981,1.0,0.5783,0.0,1.0,0.7414,0.8981,46.8947,75,14521,4781,13042,1677,14521,4710,8397,1183,14521,4781,10766,4860,0,4748,13042,4482,10
239,1.0,0.898,1.0,0.5782,0.0,1.0,0.7416,0.898,46.8947,75,14464,4746,12989,1660,14464,4676,8363,1171,14464,4746,10726,4825,0,4724,12989,4451,10
