,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
0,1.0,0.9375,1.0,1.0,0.1095,0.9375,0.2059,0.9375,0.1547,10.0,25,3871,19384,3629,14387,3871,18995,3871,19384,3629,14387,797,14982,424,37777,3629,14387,599,12663,13
1,0.98,0.977,1.0,1.0,0.2092,0.9104,0.2327,0.8556,0.0896,10.5385,25,5252,25467,5236,22369,5359,18668,5359,18139,4879,13324,1247,14696,1121,37478,4585,19354,480,480,14
2,0.9414,0.9378,1.0,1.0,0.139,0.9133,0.2023,0.9133,0.2244,11.1538,25,2844,19859,2833,17707,3021,19746,3021,19991,2759,13444,611,15100,420,37613,2759,13444,678,678,12
3,1.0,1.0,1.0,1.0,0.0091,1.0,0.2151,1.0,0.2808,8.0769,25,1325,21029,1325,14753,1325,21055,1325,21029,1325,14753,285,15308,12,37742,1325,18432,372,372,17
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,25,1,44829,1,44829,1,46486,1,44829,1,43493,1,42507,1,43493,1,45829,0,14185,42
5,1.0,1.0,1.0,1.0,0.0091,1.0,0.2151,1.0,0.2808,8.0769,25,1325,21029,1325,14753,1325,21055,1325,21029,1325,14753,285,15308,12,37742,1325,18432,372,372,17
6,1.0,1.0,1.0,1.0,0.0315,1.0,0.0315,1.0,0.2887,8.0769,25,762,21558,762,15290,762,21584,762,21558,762,15290,24,37677,24,37677,762,18965,220,220,17
7,1.0,1.0,1.0,1.0,0.8823,1.0,0.6738,1.0,0.0,2.6154,25,2600,46856,2600,21140,2600,46183,2600,45711,2600,45756,1752,38163,2294,41342,2600,44653,0,11709,34
8,1.0,1.0,1.0,1.0,0.0091,1.0,0.2151,1.0,0.2808,8.0769,25,1325,21029,1325,14753,1325,21055,1325,21029,1325,14753,285,15308,12,37742,1325,18432,372,372,17
9,0.9146,0.9146,1.0,0.9261,0.4016,0.8091,0.2354,0.7265,0.0,10.3846,25,6933,25801,6933,19407,7580,26807,7020,18111,6133,13986,1784,14752,3044,41589,5507,31727,0,16991,16
10,1.0,0.9588,1.0,0.9931,0.1912,0.958,0.1443,0.9588,0.2299,11.4615,25,7282,25649,6982,16600,7282,25766,7232,17599,6976,13760,1051,15350,1392,38503,6982,19824,1674,11459,15
11,0.8824,0.8824,1.0,0.8654,0.6608,0.7635,0.367,0.7249,0.0,11.3077,25,9075,30632,9075,24035,10284,33306,8900,17739,7852,13576,3774,14360,6796,41234,7455,22982,0,0,11
12,1.0,0.9954,1.0,0.9667,0.0534,0.9954,0.2454,0.9621,0.0046,15.3846,25,8842,21910,8801,13117,8842,25132,8548,16055,8801,13117,2170,14508,472,25419,8507,10524,41,41,7
13,1.0,0.9855,1.0,0.8772,0.8228,0.8576,0.1818,0.8116,0.0017,13.7692,25,13294,30195,13101,21921,13294,32428,11661,15450,11401,11716,2417,11783,10938,36586,10789,9301,22,22,7
14,0.9626,0.7934,1.0,0.7509,0.6075,0.7058,0.3462,0.6433,0.0002,12.8462,25,19530,29685,16098,15112,20289,34844,15234,15733,14320,12924,7025,11232,12326,36746,13052,9437,5,5,7
15,1.0,0.9963,1.0,0.8335,0.5743,0.9963,0.4346,1.0,0.0037,18.5385,25,22621,16439,22538,12454,22621,16439,18854,9071,22538,12454,9832,4834,12992,17176,22621,16439,83,83,10
16,1.0,0.9598,1.0,0.8969,0.2604,0.9598,0.3178,0.9598,0.2405,15.8462,25,15582,23084,14956,10982,15582,23084,13975,14805,14956,10982,4952,9346,4058,24271,14956,10982,3747,3747,13
17,0.9969,0.9362,1.0,0.8866,0.6416,0.8833,0.325,0.8833,0.2173,16.0,25,18367,24281,17248,14130,18424,23778,16335,14497,16274,10643,5988,8154,11821,26014,16274,10643,4004,4004,12
18,1.0,0.9445,1.0,0.8781,0.5187,0.8699,0.3226,0.9254,0.0764,15.8462,25,17518,24310,16546,14263,17518,24939,15382,14757,15239,11078,5652,8174,9086,26238,16211,23023,1338,1338,11
19,1.0,0.9752,1.0,0.8669,0.7314,0.8352,0.1758,0.9484,0.072,14.9231,25,16021,29198,15624,20791,16021,29198,13888,14943,13380,11928,2816,9271,11717,32411,15195,26852,1153,1153,11
20,1.0,0.9963,1.0,0.832,0.5763,0.9963,0.5985,1.0,0.0037,18.5385,25,23034,16352,22949,12334,23034,16352,19165,8997,22949,12334,13786,4473,13274,17144,23034,16352,85,85,10
21,1.0,0.9964,1.0,0.8068,0.397,0.9964,0.573,1.0,0.0036,18.6154,25,32559,16804,32441,11892,32559,16804,26268,8360,32441,11892,18657,2745,12927,14925,32559,16804,118,118,10
22,1.0,0.9959,1.0,0.8189,0.5282,1.0,0.5797,1.0,0.0041,18.3846,25,29622,11140,29502,6545,29622,11140,24257,8189,29622,11140,17172,2873,15647,12756,29622,11140,120,120,10
23,1.0,0.9964,1.0,0.8217,0.4712,0.9964,0.5876,1.0,0.0036,18.5385,25,26144,16775,26049,12498,26144,16775,21483,8566,26049,12498,15361,3189,12318,15772,26144,16775,95,95,10
24,0.9953,0.9449,1.0,0.8556,0.7523,0.827,0.1754,0.9481,0.0724,15.0,25,17724,29841,16827,17963,17808,28704,15237,14960,14728,11303,3124,9311,13397,31984,16884,26366,1289,1289,11
