,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
0,0.9986,0.9452,1.0,0.7334,0.0,0.9452,0.044,0.8728,0.0389,13.7451,50,2952,22882,2794,12904,2956,23008,2168,7962,2794,13972,130,25525,0,29523,2580,14821,115,7579,16
1,0.9447,0.8597,1.0,0.6241,0.0,0.8597,0.026,0.7644,0.0584,15.1569,50,4290,21853,3904,11990,4541,29130,2834,7415,3904,13074,118,23146,0,29431,3471,19754,265,7342,18
2,1.0,0.9602,1.0,0.8222,0.0,0.9602,0.0332,0.9602,0.0379,13.1961,50,2137,16346,2052,10447,2137,16346,1757,8318,2052,11106,71,25476,0,29396,2052,12426,81,4833,12
3,1.0,0.9974,1.0,0.7984,0.0,0.9974,0.0,0.9974,0.4347,8.8824,50,1141,16492,1138,11238,1141,16492,911,9080,1138,11890,0,25337,0,29451,1138,12288,496,9589,17
4,1.0,0.9578,1.0,1.0,0.0,1.0,0.0,0.9578,0.0422,1.4314,50,854,29430,818,18954,854,29817,854,29906,854,29022,0,25429,0,29590,818,29072,36,6957,45
5,1.0,0.9974,1.0,0.7984,0.0,0.9974,0.0,0.9974,0.4347,8.8824,50,1141,16492,1138,11238,1141,16492,911,9080,1138,11890,0,25337,0,29451,1138,12288,496,9589,17
6,1.0,1.0,1.0,0.8624,0.0,1.0,0.0,1.0,0.381,6.8431,50,567,16590,567,11209,567,16084,489,9478,567,11858,0,25299,0,29383,567,12255,216,8334,19
7,1.0,0.9824,1.0,0.8724,0.3544,1.0,0.0733,0.7503,0.0,2.3725,50,4309,29037,4233,14031,4309,29597,3759,28795,4309,28813,316,25686,1527,29521,3233,26729,0,5237,42
8,1.0,0.9974,1.0,0.7984,0.0,0.9974,0.0,0.9974,0.4347,8.8824,50,1141,16492,1138,11238,1141,16492,911,9080,1138,11890,0,25337,0,29451,1138,12288,496,9589,17
9,0.9866,0.7501,1.0,0.6706,0.1084,0.9963,0.0343,0.6303,0.0,13.0,50,8449,27640,6424,15127,8564,28331,5743,14060,8532,29074,294,25238,928,29432,5398,17687,0,2391,24
10,0.9997,0.8736,0.9997,0.5778,0.017,0.9997,0.0479,0.8736,0.3452,17.7059,50,6762,29023,5909,13414,6762,27867,3908,6237,6762,28399,324,23607,115,29431,5909,13414,2335,4176,18
11,0.9798,0.7092,1.0,0.6447,0.1356,1.0,0.044,0.6421,0.2518,14.1373,50,10935,27324,7915,14084,11161,29158,7196,14276,11161,28662,491,23031,1513,29280,7166,12808,2810,3936,24
12,1.0,1.0,1.0,0.621,0.0283,0.9566,0.0717,0.9566,0.0,23.1961,50,7599,28844,7599,14897,7599,28621,4719,6043,7269,28780,545,26606,215,29424,7269,19400,0,2434,14
13,0.9009,0.7884,1.0,0.4575,0.0541,0.9339,0.0541,0.7926,0.0653,24.5294,50,11682,28606,10223,14716,12967,28488,5932,5003,12110,27948,702,24998,702,28976,10278,17118,847,3230,14
14,0.9674,0.7171,1.0,0.5981,0.2938,1.0,0.318,0.6549,0.0,21.3529,50,19966,28613,14801,15209,20639,27963,12345,13462,20639,27963,6563,26499,6064,29076,13517,22320,0,2869,12
15,0.9405,0.9405,1.0,0.5321,0.2617,0.9387,0.2288,0.7685,0.2792,29.8627,50,17430,28141,17430,10726,18533,25830,9862,3740,17397,27661,4241,26061,4850,28605,14242,13294,5174,3597,8
16,0.9818,0.9577,1.0,0.5619,0.08,0.9578,0.0907,0.9999,0.0,28.6863,50,13029,28131,12709,9412,13270,27383,7456,4232,12710,29456,1204,26183,1061,25860,13269,14443,0,2730,12
17,0.96,0.7408,1.0,0.4384,0.0704,0.933,0.1922,0.7781,0.2576,26.6078,50,17800,28004,13735,9213,18541,27451,8128,4021,17299,26951,3564,26577,1306,27116,14427,14080,4777,2993,14
18,0.9592,0.7431,1.0,0.4414,0.1139,0.9335,0.1208,0.7807,0.2601,26.6078,50,16686,28041,12927,9515,17396,27583,7678,4190,16239,27036,2101,26157,1981,28514,13581,14298,4524,3075,14
19,0.96,0.8142,1.0,0.4471,0.1129,0.9324,0.1129,0.7844,0.265,26.3333,50,14703,28554,12469,13095,15315,28353,6847,4546,14279,28936,1729,25443,1729,28051,12013,14807,4058,3252,14
20,0.9406,0.9406,1.0,0.5311,0.2637,0.9384,0.231,0.768,0.2792,29.9412,50,17734,28214,17734,10656,18854,25876,10013,3705,17692,27738,4356,26199,4972,28763,14480,13285,5264,3579,8
21,1.0,1.0,1.0,0.5534,0.1076,1.0,0.1025,0.861,0.0,32.9216,50,24467,27239,24467,4207,24467,26823,13541,2237,24467,25729,2509,24640,2632,28299,21065,14287,0,3700,8
22,1.0,1.0,1.0,0.5456,0.2765,1.0,0.3094,0.8591,0.0,31.2745,50,22828,27725,22828,4060,22828,27725,12455,1674,22828,26310,7063,25038,6312,28289,19612,13532,0,3471,8
23,0.9413,0.9413,1.0,0.5256,0.1668,0.9372,0.1668,0.7658,0.2793,30.3333,50,19975,28991,19975,10278,21221,26449,11153,3500,19888,25673,3540,24781,3540,27791,16252,13344,5926,3499,8
24,0.9594,0.8112,1.0,0.442,0.1117,0.9314,0.1184,0.7802,0.2608,26.3333,50,16177,28300,13678,12608,16862,27787,7453,4280,15705,27103,1996,25953,1883,28279,13155,14423,4397,3120,14
25,0.96,0.8137,1.0,0.4463,0.1137,0.9323,0.1137,0.7839,0.2644,26.3333,50,14888,29030,12620,13031,15509,28308,6922,4511,14459,28903,1763,25502,1763,28118,12157,14754,4101,3234,14
26,0.8795,0.7883,1.0,0.4564,0.0466,0.9336,0.0549,0.7918,0.0655,24.5294,50,11581,28546,10380,14635,13168,28417,6010,4961,12293,27887,723,25058,614,28402,10426,17054,863,3227,14
27,0.9891,0.8067,0.978,0.4725,0.0279,0.9217,0.0334,0.7584,0.2861,17.2353,50,9337,28471,7615,15710,9232,29214,4460,5885,8701,28570,315,23352,263,29422,7159,21615,2701,3949,17
28,0.9885,0.8264,0.99,0.5181,0.0642,0.962,0.0642,0.8264,0.3079,17.8627,50,9846,29228,8232,11889,9861,29237,5161,5413,9582,28292,639,24247,639,29344,8232,11889,3067,3740,18
29,1.0,0.8743,1.0,0.5838,0.016,1.0,0.0458,0.8743,0.3493,15.1176,50,6422,28574,5615,13623,6422,28595,3749,6350,6422,28574,294,23535,103,29318,5615,17038,2243,4236,26
30,0.9546,0.8135,1.0,0.6918,0.0281,0.6362,0.0312,0.6309,0.272,11.9804,50,6832,28566,5822,18435,7157,29201,4951,14548,4553,12275,223,25435,201,29098,4515,13417,1947,4459,27
31,0.9737,0.8821,1.0,0.5956,0.0192,0.8747,0.0348,0.8436,0.4349,11.4314,50,4957,28632,4491,16562,5091,22453,3032,6885,4453,12238,177,25935,98,29542,4295,13497,2214,8235,30
32,0.9375,0.8151,0.995,0.5343,0.0,0.7954,0.0195,0.8162,0.396,13.6667,50,5637,28724,4901,15703,5983,28895,3213,7179,4783,12426,117,23434,0,29307,4908,21765,2381,8130,19
33,1.0,1.0,1.0,0.5972,0.0338,0.9515,0.0338,0.8516,0.0,26.8431,50,8709,28303,8709,14144,8709,28076,5201,5735,8287,28865,294,24438,294,28234,7417,17091,0,2471,8
34,0.9003,0.7882,1.0,0.4584,0.0535,0.9339,0.0535,0.7263,0.2743,24.5294,50,11501,28665,10069,14795,12774,28556,5856,5045,11929,28007,684,24936,684,28902,9278,10224,3504,3508,15
35,1.0,1.0,1.0,0.6474,0.0224,0.9625,0.0224,0.9625,0.0,23.1176,50,6662,29350,6662,15562,6662,29129,4313,6316,6412,27800,149,23926,149,29555,6412,19939,0,2406,14
36,0.928,0.8022,1.0,0.4954,0.0238,0.9477,0.0638,0.7716,0.051,16.4902,50,7028,28178,6075,16140,7573,29369,3752,6371,7177,27805,483,25440,180,29400,5843,21801,386,3407,18
37,0.9854,0.9431,1.0,0.561,0.1013,0.9431,0.1007,0.8332,0.3403,29.0,50,11236,27661,10754,10161,11403,27667,6397,3832,10754,28051,1148,24377,1155,27644,9501,12462,3881,3199,8
38,0.9783,0.947,1.0,0.5299,0.1086,0.9497,0.2658,0.9973,0.0,29.902,50,21083,28950,20407,7022,21550,26447,11420,3204,20465,27710,5728,24896,2340,28361,21492,12818,0,3335,12
39,1.0,1.0,1.0,0.5438,0.0996,1.0,0.2985,0.8582,0.0,32.5686,50,25045,26905,25045,3764,25045,25791,13619,1538,25045,26905,7476,24969,2495,27923,21494,14459,0,3719,8
40,1.0,0.8771,1.0,0.4987,0.0688,0.8805,0.3578,0.9499,0.0,30.2157,50,31470,25866,27602,8345,31470,26414,15693,3541,27710,26076,11260,25061,2164,28817,29892,15232,0,3212,15
41,1.0,0.8771,1.0,0.4986,0.0785,0.8805,0.3577,0.8771,0.0728,30.2157,50,31164,25624,27333,8271,31164,26166,15539,3509,27440,28557,11147,24826,2445,29045,27333,19546,2269,3213,14
42,1.0,0.8773,1.0,0.499,0.0498,0.8805,0.3553,0.8773,0.2815,30.2157,50,28702,25542,25179,7806,28702,28078,14322,3321,25272,28578,10199,23129,1429,29511,25179,14503,8081,3210,14
43,1.0,0.8771,1.0,0.4987,0.1033,0.8804,0.357,0.9237,0.0729,30.2157,50,30089,26528,26390,8038,30089,29174,15005,3414,26491,27657,10742,24044,3109,28993,27794,18608,2194,3107,13
44,1.0,0.8787,1.0,0.5012,0.0507,0.8817,0.2294,0.9245,0.2825,30.2157,50,25426,29212,22341,7555,25426,26033,12743,3228,22417,28611,5832,26165,1288,28668,23506,14354,7184,3049,13
45,1.0,0.8771,1.0,0.4987,0.1031,0.8804,0.3567,0.9237,0.0729,30.2157,50,29783,26296,26122,7979,29783,28919,14852,3391,26222,27411,10624,23831,3070,28726,27511,26451,2172,3079,12
46,1.0,1.0,1.0,0.5456,0.2765,1.0,0.3094,0.8591,0.0,31.2745,50,22828,27725,22828,4060,22828,27725,12455,1674,22828,26310,7063,25038,6312,28289,19612,13532,0,3471,8
47,1.0,0.8851,1.0,0.5106,0.0996,0.8874,0.0996,0.9549,0.0,30.0588,50,20294,28659,17963,7952,20294,29132,10362,3430,18008,27506,2022,26974,2022,26974,19379,13036,0,3150,12
48,1.0,0.8833,1.0,0.5081,0.1018,0.8857,0.1018,0.9539,0.0,30.0588,50,21274,28969,18791,7805,21274,29455,10809,3359,18843,27870,2166,24576,2166,27600,20293,12975,0,3234,12
49,1.0,1.0,1.0,0.5519,0.164,1.0,0.164,0.8623,0.3532,31.1961,50,18833,26077,18833,5055,18833,26077,10393,2117,18833,24822,3088,26922,3088,26922,16240,11671,6652,1937,8
50,1.0,0.8864,1.0,0.5126,0.158,0.8885,0.1839,0.9556,0.0,30.0588,50,19638,28488,17408,8069,19638,28953,10066,3485,17449,27297,3611,26457,3102,28468,18767,13101,0,3097,12
51,1.0,0.8892,1.0,0.5166,0.147,0.8911,0.252,0.9571,0.0,29.9412,50,18479,28255,16431,8311,18479,28707,9547,3598,16466,26988,4657,27860,2717,27380,17687,13261,0,3007,12
52,0.9419,0.9419,1.0,0.5519,0.111,0.9419,0.2098,0.8282,0.0,28.8039,50,11724,27635,11724,8350,12447,27376,6870,3568,11724,24959,2611,24562,1382,27976,10309,12024,0,2630,8
53,1.0,0.8823,1.0,0.5066,0.1037,0.8849,0.1037,0.9533,0.0,30.0588,50,21921,29213,19341,7726,21921,27624,11106,3321,19397,26802,2273,24946,2273,28023,20898,12959,0,3291,12
54,1.0,0.8826,1.0,0.507,0.1031,0.8851,0.1031,0.9535,0.0,30.0588,50,21758,29149,19204,7744,21758,27567,11031,3330,19258,26737,2243,24852,2243,27916,20747,12961,0,3276,12
55,1.0,0.8826,1.0,0.507,0.1031,0.8851,0.1031,0.9535,0.0,30.0588,50,21758,29149,19204,7744,21758,27567,11031,3330,19258,26737,2243,24852,2243,27916,20747,12961,0,3276,12
56,1.0,1.0,1.0,0.5429,0.0834,1.0,0.3888,0.8578,0.0,33.3922,50,26531,27914,26531,3661,26531,26747,14404,1489,26531,27914,10314,24098,2213,27747,22758,16058,0,3898,8
