seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std
0,10,100,2,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,0.5,0,0,63.2424,13.725,1850.05,445.814,4.57576,1.10397,0.00387879,0.0010234,75.2727,3.56634,2.3096,0.39813,404.922,60.5326,2.3096,0.39813
4,20,100,2,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,0.5,0,0,114.636,13.7972,2404.63,104.736,6.0,0.75,0.0364545,0.0152666,256.242,3.97649,2.96154,0.328068,405.627,43.4603,2.96154,0.328068
8,30,100,2,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,0.5,0,0,144.212,14.7049,2470.22,27.0673,6.0,0.661438,0.146485,0.0291602,533.121,5.44862,3.74935,0.435989,416.567,46.0676,3.74935,0.435989
12,40,100,2,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,0.5,0,0,163.455,13.5025,2475.34,21.0265,5.60606,0.829156,0.403242,0.0548572,859.788,8.71063,4.20693,0.383703,445.654,43.0367,4.20693,0.383703
16,50,100,2,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,0.5,0,0,168.818,11.8016,2485.02,12.5509,5.81818,0.918559,0.67103,0.0646092,1185.7,8.63315,4.11818,0.366675,429.237,32.6054,4.11818,0.366675
20,60,100,2,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,0.5,0,0,173.727,10.3328,2483.77,11.0044,5.72727,0.901388,0.966909,0.100157,1513.24,9.02427,4.18745,0.475608,437.239,40.9244,4.18745,0.475608
