seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
50,10,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,44.8182,9.22447,4696.4,196.318,5.06061,0.707107,0.0296061,0.0178919,21.7879,5.6899
54,20,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,68.3636,9.07544,4855.36,149.033,6.48485,0.968246,0.056303,0.0380193,68.4848,16.6001
58,30,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,80.5758,10.7994,4903.15,73.6745,6.87879,1.38067,0.0712424,0.0416226,130.091,26.6511
62,40,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,93.1515,12.6618,4901.75,63.4316,7.45455,1.21192,0.113848,0.0543065,229.697,48.1784
90,50,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,104.515,11.0768,4942.5,60.0456,7.87879,1.44698,0.205182,0.086108,339.667,55.8206
94,60,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,121.121,14.5425,4918.69,48.607,8.63636,1.33463,0.35603,0.111603,479.0,61.8658
146,70,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,126.061,14.346,4942.35,51.9146,9.12121,1.19896,0.605,0.16601,653.273,80.0256
150,80,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,134.939,14.5772,4949.59,46.2868,9.33333,1.26244,1.04942,0.612392,852.152,169.187
154,90,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,142.545,19.0937,4953.42,42.6672,9.84848,1.67705,1.43676,0.818804,1023.15,175.738
158,100,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,151.545,16.006,4967.01,32.4839,10.7879,1.39194,2.27442,0.805813,1270.3,171.776
