seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
190,300,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,348.121,28.6135,4944.63,50.4434,8.48485,0.935414,18012.7,33.0369,6.30388,0.70251,587.736,55.4903,6.30388,0.70251,0.0,0.0
248,200,100,2,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,0.5,0.05,2,181.515,28.8943,4992.61,7.3652,11.4545,0.810093,11183.9,11.5515,4.22659,0.297161,437.313,25.8139,4.22659,0.297161,28.9912,0.0505972
269,250,100,2,10,1,5000,10,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,130.242,24.7425,4878.23,112.437,4.87879,1.64886,7731.85,10.6478,6.55758,1.6029,1066.78,255.833,6.55758,1.6029,15.6533,0.0307317
218,100,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,2,85.1515,20.8223,4780.1,209.723,7.30303,2.19374,4788.33,19.5808,4.06958,0.990141,697.202,155.458,4.06958,0.990141,24.0889,0.17543
190,300,100,4,10,1,5000,10,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,270.788,27.3253,4870.53,127.233,5.57576,0.984251,18012.7,33.0369,8.34214,0.932171,888.953,115.643,8.34214,0.932171,27.4862,0.0747721
124,100,100,2,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,251.455,43.4332,4942.9,45.2991,10.4242,1.25,4606.82,9.50164,5.02857,0.703753,479.729,51.3076,5.02857,0.703753,0.0,0.0
240,200,100,2,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,0.5,0.05,2,111.818,26.4155,2483.18,15.95,5.48485,0.707107,6058.52,10.8901,4.47273,0.390019,456.479,41.8285,4.47273,0.390019,14.1327,0.0598322
36,150,100,2,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,207.152,9.93768,2487.67,13.5662,4.0303,0.395285,4432.52,10.3002,6.97475,0.787104,623.2,64.8295,6.97475,0.787104,13.9852,0.0647884
225,150,100,2,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,65.697,15.3795,2398.52,87.1546,4.66667,1.87083,2331.18,7.54569,3.29058,1.11306,574.113,171.662,3.29058,1.11306,7.64706,0.026974
257,250,100,2,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,1.0,0.05,2,82.4848,17.0955,2432.59,52.9132,5.93939,1.21192,3956.12,10.6624,2.51104,0.359379,416.064,54.5289,2.51104,0.359379,0.0,0.0
153,200,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,207.606,21.3862,4921.16,48.5298,10.8485,1.5411,6087.03,7.02451,2.81986,0.341017,459.606,52.9259,2.81986,0.341017,0.0,0.0
8,50,100,2,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,0,185.061,14.8027,4540.9,572.243,11.8182,4.05046,1393.61,7.3697,2.77604,1.21267,424.241,125.644,2.77604,1.21267,16.1251,0.0627878
224,150,100,2,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,0.5,0.05,2,101.212,23.0512,2481.45,18.0158,5.72727,0.935414,4434.27,8.86884,4.23449,0.48998,437.477,43.5833,4.23449,0.48998,13.972,0.0531251
96,50,100,2,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,114.515,19.7296,2431.98,51.5213,6.18182,0.707107,1186.33,8.25189,3.82857,0.545646,398.038,44.7615,3.82857,0.545646,0.0,0.0
64,250,100,2,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,203.091,8.07528,2453.76,40.0209,6.27273,0.53033,7683.21,13.5381,3.97475,0.354001,392.933,25.8966,3.97475,0.354001,0.0,0.0
244,200,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,2,124.394,21.1615,2447.55,41.4997,5.18182,0.661438,6054.48,12.3592,5.07734,0.777476,479.057,58.6558,5.07734,0.777476,0.0,0.0
90,300,100,4,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,369.273,13.6731,4993.55,6.6993,11.2727,0.770552,18002.8,30.3449,4.28291,0.256744,444.812,29.9578,4.28291,0.256744,27.4557,0.0826886
214,100,100,4,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,2,86.7879,27.4622,2431.8,44.2511,4.54545,0.901388,2904.91,22.174,5.62915,0.944527,545.837,73.3988,5.62915,0.944527,0.0,0.0
198,50,100,4,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,2,69.6061,20.14,2468.76,25.2785,3.27273,0.53033,1267.03,16.7547,8.21465,1.18641,766.747,92.9093,8.21465,1.18641,11.0057,0.150767
73,250,100,2,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,0,267.818,6.59761,4994.85,4.34541,12.5455,1.56125,7732.0,9.12414,2.5056,0.313717,403.571,48.5053,2.5056,0.313717,15.6551,0.0299988
125,100,100,2,10,1,5000,10,0.05,0.5,3,1,33,150,0,1,1.0,0.05,1,167.0,27.9564,4855.6,92.346,4.42424,1.22474,2796.76,7.02896,7.06277,1.64702,1163.53,274.989,7.06277,1.64702,14.9965,0.0437289
213,100,100,2,10,1,2500,10,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,58.6061,17.2481,2409.2,81.1679,2.90909,1.47902,1515.03,4.5104,5.68182,1.89886,934.882,287.826,5.68182,1.89886,7.55935,0.0339561
280,300,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,2,196.879,37.4022,4951.08,37.5796,12.3333,0.883883,17768.8,15.0385,3.91136,0.333307,403.158,26.9662,3.91136,0.333307,0.0,0.0
111,50,100,4,10,1,5000,10,0.05,0.5,3,1,33,150,0,1,1.0,0.05,1,109.909,25.5127,4809.46,130.984,3.30303,0.661438,1196.55,9.01041,8.14091,1.32524,1500.06,271.586,8.14091,1.32524,12.5158,0.12457
243,200,100,4,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,62.1818,13.1326,2379.12,83.3902,3.30303,1.11803,3181.97,11.0793,3.91364,0.787296,780.664,216.943,3.91364,0.787296,6.76033,0.0428349
48,200,100,2,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,199.303,8.39079,2440.94,43.3825,6.15152,0.53033,6057.15,10.4896,4.02107,0.34344,399.257,31.6977,4.02107,0.34344,0.0,0.0
111,50,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,118.515,29.8152,4896.67,81.6502,7.60606,1.43614,1196.55,9.01041,3.80883,0.793118,662.606,117.268,3.80883,0.793118,0.0,0.0
123,100,100,4,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,157.576,28.2102,4916.2,61.9324,9.21212,1.31101,2848.06,11.2027,3.09765,0.424977,543.866,75.5739,3.09765,0.424977,0.0,0.0
223,100,100,4,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,2,98.4848,32.0304,4977.76,18.9341,4.72727,1.11803,2847.79,12.49,6.74935,1.1448,1082.48,173.311,6.74935,1.1448,13.9103,0.0768182
91,300,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,0,201.333,6.92219,4911.7,73.2947,10.7273,3.57071,9455.03,13.4965,2.77797,1.16871,519.188,199.258,2.77797,1.16871,14.5481,0.0487253
51,200,100,4,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,123.333,5.34829,2424.66,46.2152,5.75758,1.33463,3183.27,10.0794,2.63034,0.509303,435.234,78.9896,2.63034,0.509303,0.0,0.0
213,100,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,2,60.2121,17.9195,2433.28,44.9328,5.84848,1.29904,1515.03,4.5104,2.56778,0.618725,429.413,87.239,2.56778,0.618725,0.0,0.0
133,150,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,116.152,16.6078,2452.13,43.8913,5.18182,1.11803,2329.12,7.85414,3.10397,0.733252,496.351,116.945,3.10397,0.733252,0.0,0.0
238,150,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,2,158.242,35.6029,4953.47,45.9487,9.15152,1.04583,8092.94,25.5447,5.69319,0.82812,548.071,62.7315,5.69319,0.82812,0.0,0.0
121,100,100,2,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,1,152.212,26.1292,4896.79,84.7904,7.72727,2.09165,2797.64,5.6097,3.7251,0.742178,661.584,119.5,3.7251,0.742178,14.9759,0.0431761
35,150,100,4,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,120.97,6.85786,2439.94,43.6459,5.51515,0.918559,2362.03,9.56393,2.70278,0.352796,449.413,54.2963,2.70278,0.352796,0.0,0.0
142,150,100,4,10,1,5000,10,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,224.545,33.3299,4833.42,139.379,5.18182,0.866025,8093.7,27.3353,8.68268,1.07822,957.173,159.475,8.68268,1.07822,26.0161,0.122494
44,150,100,2,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,398.242,15.4496,4992.18,6.98415,7.33333,0.810093,7891.64,12.1565,7.70575,0.81662,687.662,71.5473,7.70575,0.81662,28.1373,0.0612791
203,50,100,4,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,2,55.9394,15.0103,4964.48,38.1437,7.24242,0.866025,1196.48,10.0809,3.9501,0.497156,693.888,76.6689,3.9501,0.497156,12.5363,0.112715
31,100,100,4,10,1,5000,10,0.05,0.5,3,1,33,150,0,1,1.0,0.05,0,187.152,9.45093,4864.28,99.3702,3.63636,1.13192,2849.15,13.2087,8.12395,1.56638,1400.71,267.176,8.12395,1.56638,13.8701,0.082092
243,200,100,4,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,2,78.8788,17.115,2472.58,26.3261,3.93939,1.21192,3181.97,11.0793,3.73586,0.63663,648.769,117.398,3.73586,0.63663,6.76033,0.0428349
