seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
19,10,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,28.9091,7.07709,4400.5,363.27,5.27273,0.883883,0.0,0.0,34.9091,3.94493
23,20,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,53.5758,11.9191,4767.43,241.536,6.45455,0.918559,0.0,0.0,127.97,9.13099
27,30,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,69.4545,7.40393,4752.55,204.924,6.75758,1.48955,0.000151515,0.00036411,280.606,17.1227
31,40,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,86.5758,11.5678,4829.19,173.124,7.60606,1.22474,0.000606061,0.000826869,495.909,36.2129
43,50,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,99.2121,16.6222,4825.26,99.0796,8.0,1.06066,0.00142424,0.000902438,767.333,37.2043
47,60,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,115.697,15.3287,4861.29,123.175,8.60606,1.5411,0.00278788,0.00108275,1092.64,45.6204
67,70,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,129.152,14.8031,4886.64,90.7597,8.66667,2.06155,0.00445455,0.00132502,1496.06,62.7834
71,80,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,138.606,15.8014,4882.36,91.6147,8.90909,1.92029,0.007,0.00143614,1963.18,81.0602
75,90,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,158.212,17.6294,4876.97,79.8892,9.15152,1.38067,0.0103939,0.00165717,2426.09,67.9262
79,100,100,8,10,1,5000,10,0.05,0.5,6,1,33,150,0,0,1,0,1,167.848,18.1282,4912.13,78.6981,9.45455,1.6298,0.0142727,0.00173696,3009.06,79.021
