seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
2,10,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,45.2424,11.4538,4709.12,284.102,5.24242,0.968246,0.0326364,0.019287,21.8182,8.35352
6,20,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,62.5455,10.1953,4902.37,99.4347,6.21212,1.10397,0.0291515,0.0217214,60.3333,18.9118
10,30,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,82.7273,11.8011,4873.12,97.5289,7.06061,0.790569,0.0631515,0.0356757,134.606,18.226
14,40,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,94.3333,12.2262,4928.91,56.9468,7.60606,1.08972,0.0989697,0.0482782,225.121,43.2117
18,50,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,105.212,13.6857,4925.31,66.5733,8.09091,0.951972,0.205879,0.0825514,352.182,57.5293
22,60,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,116.061,13.3462,4949.97,42.2897,8.81818,1.46842,0.364545,0.0965379,489.212,70.0185
26,70,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,123.515,15.7621,4954.41,38.1949,8.87879,1.48955,0.562727,0.153929,643.788,77.6112
30,80,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,136.515,12.7699,4950.39,38.313,9.57576,1.31101,0.860212,0.263047,810.394,118.257
34,90,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,142.97,12.6058,4956.17,38.6702,10.0606,0.901388,1.47142,0.542883,1041.03,144.665
38,100,100,8,10,5,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,152.303,14.9927,4957.37,39.0058,10.5455,1.34629,2.52267,1.02797,1291.58,175.525
