seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
8,50,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,243.212,15.638,4823.36,176.859,12.3333,1.10397,1393.61,7.3697,3.16751,0.27722,393.908,37.4888,3.16751,0.27722,0.0,0.0
24,100,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,332.455,17.8134,4936.25,51.3496,12.3333,0.984251,4605.39,11.2236,3.83477,0.350372,402.348,29.4,3.83477,0.350372,0.0,0.0
40,150,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,361.273,15.5046,4950.91,47.8833,12.6061,1.06066,7890.09,11.2542,3.83231,0.345168,394.417,25.5757,3.83231,0.345168,0.0,0.0
56,200,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,374.636,12.9103,4939.77,44.8638,12.4545,0.883883,11184.8,13.1446,3.92653,0.302644,397.947,22.9224,3.92653,0.302644,0.0,0.0
72,250,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,382.545,14.2765,4957.14,42.609,12.3939,0.984251,14477.7,14.1388,3.95315,0.359311,401.952,28.5215,3.95315,0.359311,0.0,0.0
88,300,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,394.545,13.6063,4939.5,47.3117,12.3939,0.847791,17759.5,17.9208,3.99354,0.281042,399.931,24.0497,3.99354,0.281042,0.0,0.0
