seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
200,50,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4778.03,6.15681,0.0,0.0,0.0,0.0,0.0,0.0,18.3863,0.0184845
216,100,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,16357.5,31.3937,0.0,0.0,0.0,0.0,0.0,0.0,27.4088,0.0715366
232,150,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,28140.7,34.0803,0.0,0.0,0.0,0.0,0.0,0.0,29.1576,0.0482662
248,200,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,39901.2,46.1641,0.0,0.0,0.0,0.0,0.0,0.0,29.8538,0.0434219
264,250,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,51692.3,35.0771,0.0,0.0,0.0,0.0,0.0,0.0,30.2569,0.0309122
280,300,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,63464.1,32.7266,0.0,0.0,0.0,0.0,0.0,0.0,30.4903,0.0269383
424,350,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,75221.5,38.0768,0.0,0.0,0.0,0.0,0.0,0.0,30.625,0.0250496
440,400,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,87022.2,40.4923,0.0,0.0,0.0,0.0,0.0,0.0,30.7559,0.020237
456,450,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,98805.9,46.9191,0.0,0.0,0.0,0.0,0.0,0.0,30.8543,0.0229221
472,500,100,2,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,110581.0,54.6434,0.0,0.0,0.0,0.0,0.0,0.0,30.9244,0.0245262
