seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std
0,10,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,56.4242,9.84578,2289.56,196.636,3.69697,0.951972,0.0610606,0.0925993,75.2727,3.56634,2.58434,0.4926
4,20,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,88.3939,12.4447,2443.53,49.3381,3.93939,1.18585,0.16103,0.0521928,234.97,4.60977,3.41263,0.622119
8,30,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,98.1515,9.65376,2457.5,36.241,4.12121,0.612372,0.342212,0.0616136,394.758,6.10072,3.43737,0.547311
12,40,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,106.879,8.90841,2477.65,21.8456,4.24242,0.866025,0.532879,0.0723437,562.515,7.62193,3.46869,0.729771
16,50,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,107.727,8.01277,2470.23,22.5059,4.48485,0.829156,0.728788,0.0616658,726.03,6.88522,3.30556,0.566815
20,60,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,109.576,7.72589,2470.67,19.7566,4.69697,1.10397,0.928455,0.0724315,891.545,7.24137,3.13362,0.580033
24,70,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,112.97,9.97022,2477.54,28.4414,4.60606,0.935414,1.12476,0.102983,1051.3,9.22971,3.24343,0.566145
28,80,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,114.364,8.90161,2483.18,18.3779,4.66667,0.935414,1.35188,0.0834408,1215.42,8.18535,3.16465,0.437138
32,90,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,116.394,6.35875,2478.18,20.8018,4.72727,1.06066,1.51609,0.105717,1381.21,8.51286,3.18333,0.578642
36,100,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,118.061,6.97737,2475.95,21.5202,4.87879,1.1592,1.73312,0.127433,1543.09,8.28968,3.1,0.50175
40,110,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,119.606,5.8627,2483.96,16.1526,4.9697,1.22474,1.94982,0.151404,1709.55,8.72855,3.06263,0.511415
44,120,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,119.848,7.42934,2482.82,19.71,5.09091,0.883883,2.21855,0.157532,1873.42,9.80115,2.97605,0.514619
48,130,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,120.576,4.96884,2478.97,17.2975,4.93939,1.23744,2.44915,0.204021,2036.21,8.61866,3.11061,0.620411
52,140,100,4,10,1,2500,5,0.05,0.5,0,1,33,150,0,1,1,0,0,121.697,6.82131,2479.24,19.2006,5.33333,1.07529,2.6613,0.185122,2196.97,8.80696,2.85361,0.496483
