seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
100,50,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,113.909,24.889,2442.82,45.7154,5.36364,0.790569,1186.3,8.68907,4.76385,0.766302,462.797,59.698,4.76385,0.766302,0.0,0.0
116,100,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,156.455,26.2013,2447.19,47.1485,4.66667,1.0,2811.42,10.1119,5.82879,1.21194,537.894,90.6426,5.82879,1.21194,0.0,0.0
132,150,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,180.545,21.1174,2450.38,43.3903,4.87879,1.07529,4435.67,13.818,5.51212,0.821766,509.596,62.6041,5.51212,0.821766,0.0,0.0
148,200,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,194.424,26.827,2447.38,48.0853,4.54545,0.829156,6058.42,12.1963,6.02071,0.891024,547.478,69.7504,6.02071,0.891024,0.0,0.0
164,250,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,199.03,19.4462,2451.27,45.2048,4.57576,0.770552,7680.79,13.5462,5.99848,0.816862,542.218,62.0315,5.99848,0.816862,0.0,0.0
180,300,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,203.242,14.7776,2441.95,43.3674,4.66667,1.0,9311.18,13.2783,5.83268,0.978756,534.453,74.8502,5.83268,0.978756,0.0,0.0
