seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std
8,10,100,2,10,5,5000,5,0.05,0.5,8,1,33,150,0,1,0.5,0,0,22.303,4.44047,813.846,133.602,3.09091,0.684653,10.0,0.0,1.0,0.0,267.551,30.5576,3.12576,1.05076
24,20,100,2,10,5,5000,5,0.05,0.5,8,1,33,150,0,1,0.5,0,0,45.4242,6.00016,1573.9,180.622,6.06061,0.866025,20.0,0.0,1.0,0.0,261.826,26.7044,3.0246,0.551363
40,30,100,2,10,5,5000,5,0.05,0.5,8,1,33,150,0,1,0.5,0,0,63.7879,6.82714,2225.64,207.255,8.54545,1.14564,30.0,0.0,1.0,0.0,262.382,25.862,3.02072,0.417267
56,40,100,2,10,5,5000,5,0.05,0.5,8,1,33,150,0,1,0.5,0,0,83.8485,8.09368,2988.34,213.682,11.2727,1.21192,40.0,0.0,1.0,0.0,266.574,20.2584,2.99501,0.346168
72,50,100,2,10,5,5000,5,0.05,0.5,8,1,33,150,0,1,0.5,0,0,100.788,9.82267,3574.52,233.016,13.4545,1.21192,50.0,0.0,1.0,0.0,266.333,13.0255,2.99189,0.33112
88,60,100,2,10,5,5000,5,0.05,0.5,8,1,33,150,0,1,0.5,0,0,126.606,9.20577,4389.22,247.333,17.0909,1.1592,60.0,0.0,1.0,0.0,257.358,14.4865,2.99863,0.295206
104,70,100,2,10,5,5000,5,0.05,0.5,8,1,33,150,0,1,0.5,0,0,141.939,11.7339,4867.69,117.458,18.6667,1.11803,70.0,0.0,1.0,0.0,261.274,12.544,2.96674,0.304798
120,80,100,2,10,5,5000,5,0.05,0.5,8,1,33,150,0,1,0.5,0,0,157.545,9.65042,4967.43,26.6989,19.4242,1.32288,80.0,0.0,1.0,0.0,256.794,17.067,3.00254,0.403465
