seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
64,10,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,18.303,6.69181,2188.47,209.535,2.60606,1.0,0.0,0.0,17.5758,3.93303
68,20,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,22.697,5.05275,2284.7,222.74,3.27273,0.918559,0.0,0.0,41.4242,9.65013
72,30,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,27.2727,6.39957,2267.68,176.895,3.39394,1.0155,0.0,0.0,87.2121,18.3703
76,40,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,29.5455,6.87882,2315.91,166.872,3.69697,1.28695,0.0,0.0,129.242,19.5592
112,50,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,35.9091,6.79321,2321.45,191.308,3.69697,1.28695,0.000151515,0.00036411,200.636,37.3099
116,60,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,37.7576,7.25444,2332.99,133.4,4.12121,1.1726,0.000272727,0.000452267,274.152,44.6399
184,70,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,37.4545,6.99594,2330.45,171.641,3.84848,1.43614,0.000242424,0.000435194,347.909,62.3909
188,80,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,41.4848,8.39316,2369.45,108.956,4.60606,1.27475,0.000515152,0.000712444,448.091,78.2526
192,90,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,45.1818,7.18268,2337.38,180.146,4.66667,1.5411,0.00115152,0.000618527,604.242,74.0274
196,100,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,1,48.0,7.77416,2344.69,117.536,4.90909,1.34629,0.00121212,0.000649883,729.121,70.6912
