seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
1,10,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,29.303,6.69648,2347.77,145.725,2.75758,1.04583,0.0256364,0.0163932,26.0,5.51702
5,20,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,43.5455,9.54297,2398.27,90.1408,2.90909,1.22474,0.0517576,0.0240819,101.939,24.5083
9,30,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,57.2727,7.64964,2428.56,56.6385,3.33333,0.918559,0.13497,0.0602518,257.97,45.8816
13,40,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,66.8788,12.0124,2447.02,59.3474,3.12121,0.790569,0.313939,0.117345,490.242,71.8014
17,50,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,70.7879,7.84123,2445.65,57.2116,3.18182,1.06066,0.862273,0.29393,872.727,83.4974
21,60,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,80.2424,10.0593,2462.1,40.3538,3.15152,0.847791,2.12976,1.10872,1338.91,160.842
25,70,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,85.7273,10.672,2459.03,32.2359,3.24242,0.968246,4.16894,1.66082,1904.73,144.805
29,80,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,94.4545,7.11991,2454.36,41.8046,3.24242,0.829156,8.63709,2.77903,2724.3,261.852
33,90,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,100.636,9.44662,2461.83,37.8909,2.9697,1.29904,16.934,6.11215,3685.85,293.884
37,100,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,102.818,10.4954,2471.02,32.5631,3.30303,0.829156,24.4269,6.77791,4547.64,284.35
