seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std
134,10,100,4,10,1,2500,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,15.1818,3.59213,813.702,177.314,2.09091,0.467707,10.0,0.0,1.0,0.0,398.539,85.8549,1.0,0.0
150,20,100,4,10,1,2500,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,28.3333,3.77216,1439.9,208.679,3.72727,0.935414,20.0,0.0,1.0,0.0,394.144,76.2785,1.0,0.0
166,30,100,4,10,1,2500,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,42.2727,5.25757,2016.09,263.03,5.36364,0.75,30.0,0.0,1.0,0.0,378.874,51.0706,1.0,0.0
182,40,100,4,10,1,2500,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,48.9394,5.2734,2379.05,122.798,6.09091,0.847791,40.0,0.0,1.0,0.0,396.983,52.3543,1.0,0.0
198,50,100,4,10,1,2500,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,56.4545,6.325,2439.43,52.572,6.84848,1.19896,50.0,0.0,1.0,0.0,361.164,42.9512,1.0,0.0
214,60,100,4,10,1,2500,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,60.4545,5.92711,2447.41,33.8624,7.36364,0.968246,60.0,0.0,1.0,0.0,337.07,40.63,1.0,0.0
230,70,100,4,10,1,2500,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,63.9091,6.40002,2468.19,30.2264,7.78788,1.06066,70.0,0.0,1.0,0.0,319.363,28.5612,1.0,0.0
246,80,100,4,10,1,2500,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,64.2121,5.95167,2467.39,32.161,7.90909,1.27475,80.0,0.0,1.0,0.0,315.758,35.8519,1.0,0.0
