seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
15,50,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,191.364,18.0673,4929.95,77.4269,8.66667,1.73205,1197.21,8.06032,3.38211,0.682025,587.888,109.555,3.38211,0.682025,0.0,0.0
31,100,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,218.667,11.4692,4939.37,44.7201,9.18182,1.22474,2849.15,13.2087,3.28477,0.462739,547.252,73.7699,3.28477,0.462739,0.0,0.0
47,150,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,230.394,11.3218,4935.36,53.96,9.15152,1.81142,4499.73,10.9659,3.4394,0.985624,567.299,155.749,3.4394,0.985624,0.0,0.0
63,200,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,240.182,10.76,4933.24,42.5375,10.1515,1.33463,6152.15,11.2791,3.00293,0.462341,494.442,68.1388,3.00293,0.462341,0.0,0.0
79,250,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,245.424,8.43368,4942.34,44.6539,10.1818,1.25,7802.3,11.8348,2.9919,0.423326,492.464,60.7101,2.9919,0.423326,0.0,0.0
95,300,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,249.515,10.3475,4938.35,41.3831,10.7273,2.07666,9453.67,14.3897,2.92786,0.603217,475.835,89.7388,2.92786,0.603217,0.0,0.0
