seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
107,50,100,4,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,133.455,30.4878,4969.67,24.868,7.51515,1.0155,1195.79,9.0967,3.62205,0.480315,670.506,82.834,3.62205,0.480315,12.509,0.125039
123,100,100,4,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,164.727,28.2049,4977.48,19.505,7.48485,0.968246,2848.06,11.2027,3.88498,0.469982,673.091,75.5917,3.88498,0.469982,13.8669,0.0749935
139,150,100,4,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,195.818,25.1004,4982.03,17.0101,7.54545,1.03078,4499.82,13.2936,3.90216,0.439121,668.342,73.1046,3.90216,0.439121,14.2084,0.052742
155,200,100,4,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,208.636,24.7889,4984.67,12.9992,7.72727,1.03078,6154.18,11.9295,3.89244,0.390202,650.669,62.5309,3.89244,0.390202,14.3775,0.0408341
171,250,100,4,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,215.758,20.2362,4984.27,15.9516,7.78788,1.1726,7800.27,12.6849,3.85474,0.455554,647.853,74.2801,3.85474,0.455554,14.483,0.053134
187,300,100,4,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,222.818,18.9942,4990.64,7.44487,7.87879,1.31101,9456.0,16.9595,3.87224,0.402271,641.406,68.3356,3.87224,0.402271,14.5581,0.0464458
