seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
109,50,100,2,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,142.909,38.0381,4974.06,26.9316,5.84848,1.95256,1151.33,4.46164,5.67126,1.7571,918.384,242.973,5.67126,1.7571,13.4817,0.0698323
125,100,100,2,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,190.061,31.6267,4984.45,21.2104,5.09091,0.728869,2796.76,7.02896,6.41804,0.933886,998.391,142.582,6.41804,0.933886,14.9965,0.0437289
141,150,100,2,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,210.212,27.8093,4987.27,11.5495,5.60606,0.866025,4441.39,5.89226,5.71587,0.593608,899.501,94.2157,5.71587,0.593608,15.3763,0.0534158
157,200,100,2,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,230.182,24.7304,4987.61,13.9798,5.93939,1.40312,6088.12,9.38749,5.51051,0.996324,862.903,141.761,5.51051,0.996324,15.5563,0.0402925
173,250,100,2,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,237.727,18.6602,4991.27,9.84338,6.12121,1.08972,7734.88,8.08355,5.34576,0.904367,838.917,139.02,5.34576,0.904367,15.6535,0.0255389
189,300,100,2,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,242.848,21.8577,4990.39,8.05039,6.39394,1.10397,9378.64,9.95458,5.10795,0.830274,800.093,127.719,5.10795,0.830274,15.7174,0.0250602
