seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
3,10,100,4,10,5,2500,5,0.05,0.5,8,4,33,150,30,1,1.0,0,0,21.1515,4.12402,1465.88,236.695,3.15152,0.53033,10.0,0.0,1.0,0.0,469.228,63.6868,2.93434,0.791052,1.0,0.0
19,20,100,4,10,5,2500,5,0.05,0.5,8,4,33,150,30,1,1.0,0,0,40.5152,5.16673,2344.68,108.009,5.27273,0.728869,20.0,0.0,1.0,0.0,451.951,62.6437,2.90101,0.648167,1.0,0.0
35,30,100,4,10,5,2500,5,0.05,0.5,8,4,33,150,30,1,1.0,0,0,49.2424,5.76102,2441.09,52.383,6.09091,0.684653,30.0,0.0,1.0,0.0,405.558,45.7796,3.02266,0.491339,1.0,0.0
51,40,100,4,10,5,2500,5,0.05,0.5,8,4,33,150,30,1,1.0,0,0,54.2121,6.72104,2464.09,27.5176,6.51515,0.847791,40.0,0.0,1.0,0.0,382.07,39.5494,2.97846,0.588451,1.0,0.0
