seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
139,10,100,4,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,11.6061,7.41594,2462.72,738.326,3.78788,1.1726,35.5758,13.6531,1.75859,0.250905,657.641,179.853,4.13788,0.472789,2.18751,0.331839
155,20,100,4,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,26.7273,11.1391,4516.96,480.087,7.69697,1.10397,114.545,34.89,1.81221,0.249815,591.605,75.506,4.15824,0.413052,4.18482,0.542089
171,30,100,4,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,35.4242,18.4815,4811.4,189.797,9.06061,1.22474,225.879,47.7974,1.83058,0.176988,539.97,72.6116,4.07229,0.332802,6.03081,0.936277
187,40,100,4,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,40.9091,16.7842,4896.25,96.2402,9.81818,1.38067,372.152,74.2464,1.86105,0.186795,505.258,62.287,4.14683,0.373092,7.75599,0.756619
203,50,100,4,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,39.3333,11.1177,4903.48,63.8057,10.697,1.35785,531.273,80.4307,1.88866,0.169762,464.083,54.9746,4.17743,0.352392,8.09925,0.756155
219,60,100,4,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,57.9394,18.6781,4938.77,50.049,10.5455,1.56125,629.727,121.883,1.83594,0.172777,477.089,66.3618,4.19742,0.309954,8.62039,0.769765
235,70,100,4,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,56.8485,19.2875,4943.06,58.248,10.7879,1.47902,791.818,120.71,1.87361,0.168657,463.58,48.8523,4.13579,0.343105,8.67679,0.542132
251,80,100,4,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,61.2424,17.4965,4940.2,46.6994,11.0,1.29904,897.97,124.464,1.84277,0.184094,455.561,57.2887,4.19988,0.237782,8.93946,0.385787
