seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
15,50,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1198.09,7.11293,0.0,0.0,0.0,0.0,0.0,0.0,12.5279,0.147097
31,100,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,2848.7,9.80593,0.0,0.0,0.0,0.0,0.0,0.0,13.8666,0.0832948
47,150,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4498.09,11.9726,0.0,0.0,0.0,0.0,0.0,0.0,14.226,0.0683499
63,200,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,6154.33,13.5266,0.0,0.0,0.0,0.0,0.0,0.0,14.4128,0.0504808
79,250,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,7808.45,16.2221,0.0,0.0,0.0,0.0,0.0,0.0,14.4872,0.0515972
95,300,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,9455.94,15.4627,0.0,0.0,0.0,0.0,0.0,0.0,14.5732,0.0474651
111,350,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,11106.9,18.8572,0.0,0.0,0.0,0.0,0.0,0.0,14.3509,0.050194
127,400,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,12762.5,15.749,0.0,0.0,0.0,0.0,0.0,0.0,14.3718,0.0344228
143,450,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,14407.2,20.5381,0.0,0.0,0.0,0.0,0.0,0.0,14.4076,0.04885
159,500,100,4,10,1,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,16064.3,16.8532,0.0,0.0,0.0,0.0,0.0,0.0,14.4203,0.0406448
