seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std
142,10,100,4,10,1,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,16.4242,3.75858,899.198,204.762,2.12121,0.433013,10.0,0.0,1.0,0.0,432.313,101.64,1.0,0.0
158,20,100,4,10,1,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,27.5152,4.9945,1492.61,203.717,3.60606,0.829156,20.0,0.0,1.0,0.0,422.19,74.8241,1.0,0.0
174,30,100,4,10,1,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,41.1818,5.76332,2073.77,235.807,5.15152,0.728869,30.0,0.0,1.0,0.0,406.867,51.5735,1.0,0.0
190,40,100,4,10,1,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,55.7273,6.5492,2677.86,215.383,7.12121,0.866025,40.0,0.0,1.0,0.0,380.735,51.4261,1.0,0.0
206,50,100,4,10,1,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,67.3636,7.24922,3280.56,315.313,8.48485,1.06066,50.0,0.0,1.0,0.0,389.861,45.139,1.0,0.0
222,60,100,4,10,1,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,79.7273,7.44258,4047.32,293.746,10.1212,1.1726,60.0,0.0,1.0,0.0,403.802,44.8884,1.0,0.0
238,70,100,4,10,1,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,93.9697,7.33777,4566.18,271.605,11.9091,1.34629,70.0,0.0,1.0,0.0,385.626,36.206,1.0,0.0
254,80,100,4,10,1,5000,10,0.05,0.5,8,1,33,150,0,1,0.5,0,0,100.97,8.98431,4897.1,122.981,12.5152,1.13192,80.0,0.0,1.0,0.0,393.353,28.139,1.0,0.0
