seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
14,50,100,4,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,250.0,19.0427,4907.39,93.5922,7.0,0.935414,1532.39,13.7352,6.09253,0.87802,713.55,97.0012,6.09253,0.87802,15.2557,0.0718155
30,100,100,4,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,351.121,20.3926,4986.64,14.3914,6.45455,0.770552,4794.55,21.8846,8.38095,0.762317,778.959,69.1047,8.38095,0.762317,24.0531,0.197523
46,150,100,4,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,376.545,17.2157,4988.39,9.9434,6.84848,1.06066,8098.45,23.9811,8.07684,0.802154,734.197,66.6072,8.07684,0.802154,26.0087,0.138279
62,200,100,4,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,388.03,14.1277,4992.73,7.65781,7.15152,0.847791,11389.2,25.2797,7.75595,0.948318,707.557,83.8734,7.75595,0.948318,26.7502,0.101372
78,250,100,4,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,397.879,12.5194,4990.33,12.3659,7.33333,0.847791,14703.3,26.194,7.63709,0.835843,687.681,70.5881,7.63709,0.835843,27.2074,0.098298
94,300,100,4,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,408.424,13.4398,4991.97,10.4298,7.12121,0.707107,18014.3,30.1123,7.82774,0.820192,707.423,68.4377,7.82774,0.820192,27.4864,0.100586
