seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
203,50,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,42.8788,11.6237,4782.86,170.756,6.51515,2.37829,1196.48,10.0809,3.64194,1.14312,813.621,240.166,3.64194,1.14312,12.5363,0.112715
219,100,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,80.4848,22.1107,4892.18,124.948,7.39394,2.77826,2845.3,9.33742,3.39581,1.25915,747.127,243.641,3.39581,1.25915,13.8849,0.0693866
235,150,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,88.6667,20.2649,4812.39,158.933,6.09091,1.64886,4499.55,11.0708,4.01613,0.816377,833.789,177.802,4.01613,0.816377,14.2328,0.0582015
251,200,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,94.6667,14.9136,4889.3,112.458,6.66667,2.17945,6147.64,16.3698,3.80957,0.961563,787.042,183.28,3.80957,0.961563,14.399,0.052731
267,250,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,112.061,17.36,4829.01,150.72,6.48485,2.01556,7800.94,13.621,3.87396,0.811805,797.167,190.795,3.87396,0.811805,14.4909,0.0610245
283,300,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,105.97,22.9258,4896.14,87.6272,7.0,2.78388,9455.39,16.0925,3.84027,1.05097,781.147,222.503,3.84027,1.05097,14.5546,0.0476371
