seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std
171,10,100,4,10,1,5000,5,0.05,0.5,8,4,5,150,30,1,1.0,0,0,23.4,2.88097,1448.16,143.757,3.0,0.0,10.0,0.0,1.0,0.0,482.72,47.9188,1.0,0.0
187,20,100,4,10,1,5000,5,0.05,0.5,8,4,5,150,30,1,1.0,0,0,42.6,5.45894,2671.78,257.555,5.8,1.22474,20.0,0.0,1.0,0.0,465.158,51.6283,1.0,0.0
203,30,100,4,10,1,5000,5,0.05,0.5,8,4,5,150,30,1,1.0,0,0,54.4,3.20936,3887.76,285.629,8.0,0.707107,30.0,0.0,1.0,0.0,486.816,21.8741,1.0,0.0
