seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
192,50,100,2,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,2,48.0303,17.2454,2396.84,77.808,5.54545,1.62019,1186.3,7.59934,3.71061,1.11648,458.818,103.183,3.71061,1.11648,12.3708,0.113666
208,100,100,2,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,2,66.5758,15.9335,2400.82,95.5293,5.15152,1.1592,2810.58,9.70341,4.06359,0.749959,483.278,84.4513,4.06359,0.749959,13.6242,0.0716413
224,150,100,2,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,2,81.6061,18.8214,2403.51,66.0539,5.27273,1.23744,4434.27,8.86884,4.04675,0.92208,476.019,94.2885,4.04675,0.92208,13.972,0.0531251
240,200,100,2,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,2,89.6364,21.0948,2401.02,91.5545,5.57576,1.40312,6058.52,10.8901,3.87922,0.788849,447.455,81.1096,3.87922,0.788849,14.1327,0.0598322
256,250,100,2,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,2,97.3636,17.9841,2427.65,55.9472,5.06061,0.661438,7681.21,11.0326,4.19343,0.457707,487.746,65.4346,4.19343,0.457707,14.2286,0.0378314
272,300,100,2,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,2,105.03,13.4895,2413.82,77.5915,5.27273,1.04583,9311.12,15.5161,4.03481,0.703231,473.348,86.8522,4.03481,0.703231,14.2852,0.0383115
