seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
1,10,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,30.8485,6.65733,2268.48,131.91,2.87879,1.1592,0.0228182,0.0117166,23.6061,3.31662
5,20,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,48.7273,11.5197,2389.43,83.2899,3.57576,1.18585,0.0423939,0.0355475,77.8485,10.2652
9,30,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,65.0909,9.64159,2421.38,63.8368,4.18182,0.935414,0.0692121,0.0369449,164.333,16.0672
13,40,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,75.0606,12.3894,2460.28,36.4383,4.36364,0.901388,0.115333,0.0481558,275.576,20.1781
17,50,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,82.303,9.83452,2438.0,44.0684,4.66667,1.27475,0.193818,0.05151,425.97,21.5899
21,60,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,93.8788,15.3251,2465.98,28.9758,5.45455,0.984251,0.343303,0.0691545,601.333,33.7681
25,70,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,99.8182,14.0478,2469.31,32.4228,5.54545,1.06066,0.540394,0.0933351,797.788,28.0691
29,80,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,110.455,11.0852,2463.6,32.7873,5.87879,1.31101,0.860909,0.19663,1044.52,54.5135
33,90,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,116.667,10.4513,2470.83,27.4945,5.90909,1.1726,1.44391,0.383722,1323.64,66.6045
37,100,100,8,10,5,2500,10,0.05,0.5,0,1,33,150,0,0,1,0,0,123.788,12.1521,2474.41,22.041,6.27273,0.951972,2.05676,0.41943,1587.55,51.4866
