seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
145,10,100,8,10,5,2500,10,0.05,0.5,2,4,33,150,30,0,1,0,0,27.3939,5.15957,2312.94,213.052,2.51515,0.770552,0.00412121,0.00196465,24.9697,4.43001
149,20,100,8,10,5,2500,10,0.05,0.5,2,4,33,150,30,0,1,0,0,42.8788,7.24895,2431.12,63.7136,3.15152,0.847791,0.0166364,0.00480116,99.2424,21.2691
153,30,100,8,10,5,2500,10,0.05,0.5,2,4,33,150,30,0,1,0,0,56.2424,7.8979,2426.42,78.0124,3.69697,0.984251,0.0345455,0.00643278,202.667,29.2927
157,40,100,8,10,5,2500,10,0.05,0.5,2,4,33,150,30,0,1,0,0,63.7576,9.17888,2445.79,45.6623,3.81818,1.07529,0.0647879,0.00776916,377.697,37.1748
