seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
48,10,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,24.6667,5.79691,2140.15,263.995,3.09091,0.770552,0.0,0.0,14.8788,4.0039
52,20,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,39.3939,7.04423,2262.55,167.881,3.81818,1.10397,0.0,0.0,45.0,10.198
56,30,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,45.5455,5.19068,2295.64,122.652,4.12121,0.901388,0.0,0.0,83.5455,16.2115
60,40,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,52.5758,10.0437,2261.52,160.51,4.42424,1.03078,0.0,0.0,134.455,21.1845
88,50,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,63.3939,12.4823,2350.72,110.76,5.30303,0.935414,9.09091e-05,0.000291937,192.848,34.0643
92,60,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,69.697,9.72588,2342.4,98.8682,5.51515,0.984251,0.000181818,0.000391675,268.303,44.1935
144,70,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,76.7273,10.0725,2376.24,100.401,5.75758,1.40312,0.000272727,0.000626135,376.697,49.3112
148,80,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,81.1515,10.4017,2387.64,98.6959,6.0303,0.883883,0.000636364,0.000742386,480.97,73.907
152,90,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,83.7273,11.7932,2342.46,113.24,6.0303,0.918559,0.000909091,0.000291937,561.545,68.2065
156,100,100,8,10,5,2500,5,0.05,0.5,6,1,33,150,0,0,1,0,0,92.5758,13.6726,2386.27,84.5036,6.33333,1.0155,0.00142424,0.000830298,727.515,90.8207
