seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
66,10,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,26.1212,7.22737,4447.85,393.675,5.18182,0.901388,0.0,0.0,20.7879,4.65027
70,20,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,34.2121,7.56124,4550.71,350.807,5.12121,1.22474,0.0,0.0,68.5455,19.7468
74,30,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,38.9697,8.0525,4757.66,163.693,5.93939,1.48955,0.0,0.0,132.394,24.7317
78,40,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,47.8182,9.35232,4744.42,212.184,6.63636,1.31101,0.000121212,0.000331434,215.939,45.1688
114,50,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,53.5152,8.79674,4782.02,198.041,6.60606,1.1726,0.00030303,0.000585494,327.273,63.348
118,60,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,59.2727,8.05168,4761.88,207.681,7.24242,1.36931,0.000787879,0.000819969,473.121,95.7963
186,70,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,60.303,8.06414,4784.53,172.363,6.9697,2.06155,0.00115152,0.00066714,657.667,114.269
190,80,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,63.4545,8.12439,4792.11,259.7,6.9697,1.5,0.00175758,0.000867118,832.394,122.083
194,90,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,65.3333,7.10927,4773.87,212.893,7.45455,1.82859,0.00230303,0.000883348,1000.3,150.146
198,100,100,8,10,5,5000,5,0.05,0.5,3,1,33,150,0,0,1,0,1,71.1212,8.06132,4818.68,150.86,8.0,1.87083,0.00336364,0.00129466,1259.82,169.023
