seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
6,50,100,4,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,172.697,12.6429,2471.18,23.2546,3.21212,0.467707,1269.58,20.6965,8.39899,1.07867,779.919,84.815,8.39899,1.07867,10.9725,0.146927
22,100,100,4,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,190.0,10.2347,2483.42,14.3092,3.54545,0.790569,2903.27,17.3358,7.89596,1.37121,717.347,110.309,7.89596,1.37121,11.9606,0.111119
38,150,100,4,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,202.303,11.2012,2486.82,9.3356,3.81818,0.984251,4536.61,19.6182,7.31111,1.16529,664.524,100.091,7.31111,1.16529,12.2303,0.0948869
54,200,100,4,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,207.242,10.6684,2485.18,14.3123,3.75758,0.918559,6176.97,21.0119,7.50202,1.16843,673.977,98.2096,7.50202,1.16843,12.3615,0.0667268
70,250,100,4,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,207.697,9.85357,2485.73,16.1599,4.0,0.612372,7807.67,26.3711,6.97828,1.13352,635.059,94.9548,6.97828,1.13352,12.4182,0.0748364
86,300,100,4,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,208.242,6.72231,2488.79,10.8621,3.9697,1.1726,9450.7,21.2125,7.10455,1.21272,642.225,101.781,7.10455,1.21272,12.4959,0.0565714
