seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
80,10,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,9.12121,4.21869,2113.95,293.916,2.72727,1.0,0.0,0.0,14.6061,3.5
84,20,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,12.7576,3.45534,2239.88,249.381,3.21212,1.21192,0.0,0.0,42.1515,11.2985
88,30,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,17.1212,4.05245,2235.87,221.644,3.09091,1.07529,0.0,0.0,82.5758,19.3641
92,40,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,18.4242,4.61675,2249.2,164.737,3.45455,1.10397,0.0,0.0,134.606,27.074
136,50,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,19.4848,5.922,2308.04,146.199,3.54545,1.11803,0.000181818,0.000391675,199.606,32.9735
140,60,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,21.3636,4.9486,2228.25,205.949,3.60606,1.27475,0.000151515,0.00036411,269.788,47.3979
224,70,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,24.1818,5.35289,2349.63,109.379,4.15152,1.35785,0.000272727,0.000516764,352.818,67.3705
228,80,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,24.697,5.24097,2317.19,125.862,4.18182,1.08972,0.00069697,0.000918043,485.333,73.487
232,90,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,27.0,5.99479,2331.94,143.873,4.51515,1.33463,0.00109091,0.000578988,591.545,66.8211
236,100,100,8,10,5,2500,5,0.05,0.5,3,1,33,150,0,0,1,0,2,29.0,7.20677,2308.36,140.314,4.39394,1.46842,0.00130303,0.000883348,716.758,88.6325
