seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
141,10,100,2,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,69.0303,17.2255,2723.63,563.011,6.21212,1.1592,63.9394,2.18661,1.95447,0.200631,440.116,62.1711,1.95447,0.200631,2.25131,0.229726
157,20,100,2,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,129.97,23.9289,4812.29,215.393,8.93939,1.66771,228.03,2.98433,2.66646,0.452171,550.669,87.6182,2.66646,0.452171,4.30411,0.615392
173,30,100,2,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,178.03,16.3907,4968.57,24.4817,7.69697,1.92841,493.485,3.66572,3.8872,1.01533,678.425,148.695,3.8872,1.01533,6.48407,1.07319
189,40,100,2,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,201.152,13.5165,4973.66,21.2928,6.42424,1.56125,822.152,4.05817,5.02709,1.14663,809.609,166.247,5.02709,1.14663,8.18657,1.00306
205,50,100,2,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,211.485,12.9521,4982.95,11.0642,7.15152,1.07529,1151.52,4.88301,4.40691,0.72427,711.792,105.762,4.40691,0.72427,8.88754,1.04234
221,60,100,2,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,219.636,10.9739,4982.76,19.0272,7.81818,1.92841,1479.67,4.82183,4.10425,1.00323,668.222,149.623,4.10425,1.00323,9.51004,0.652435
237,70,100,2,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,227.182,11.799,4987.15,13.4924,8.45455,1.64886,1809.36,7.22409,3.75205,0.778785,609.787,112.607,3.75205,0.778785,9.66193,0.602126
253,80,100,2,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,233.273,10.465,4988.54,9.84376,8.48485,1.41421,2138.91,4.74342,3.7327,0.694924,603.067,103.917,3.7327,0.694924,9.75438,0.633303
