seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
137,10,100,2,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,15.8182,10.8986,2008.47,504.447,5.45455,0.951972,29.7576,8.8512,1.51825,0.250652,367.739,68.7714,4.03355,0.370144,2.49097,0.436112
153,20,100,2,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,30.8485,15.1639,3801.6,695.855,10.1818,1.39194,103.394,21.3402,1.55847,0.171985,374.12,51.6103,3.90491,0.336217,4.72176,0.552674
169,30,100,2,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,47.2424,15.6246,4847.59,186.541,13.5758,1.28695,232.424,56.5475,1.64357,0.190284,359.703,34.4676,4.04831,0.292822,6.84963,0.844503
185,40,100,2,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,51.4545,22.1699,4942.12,39.4602,14.5152,1.79409,374.061,66.7823,1.65082,0.183205,345.006,40.1732,4.10249,0.281113,8.31838,0.871963
201,50,100,2,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,60.5455,23.7988,4927.07,47.9102,14.6061,1.43614,501.636,82.8713,1.61082,0.153641,339.958,30.8154,3.96202,0.251213,9.02159,0.735601
217,60,100,2,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,67.0606,22.0496,4928.05,64.0403,14.6667,1.39194,620.909,130.804,1.62326,0.16314,338.39,30.273,3.99542,0.230037,9.49048,0.677402
233,70,100,2,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,71.4242,21.1291,4956.42,44.8119,14.5152,1.31101,748.182,120.603,1.63899,0.152064,343.724,28.6005,3.99357,0.291156,9.43182,0.554571
249,80,100,2,10,5,5000,5,0.05,0.5,0,1,33,150,0,1,1.0,0,2,77.0,21.9972,4961.0,39.0677,15.0303,1.35785,884.121,151.077,1.62293,0.129933,332.683,30.1878,4.04865,0.210156,9.87813,0.616802
