seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
5,10,100,2,10,5,2500,10,0.05,0.5,0,1,33,150,0,1,1.0,0.0,0,63.1515,11.4758,2335.18,147.922,5.39394,0.770552,64.0606,2.04634,2.01833,0.196128,438.63,57.5936,6.25065,1.00571,2.37349,0.221982
21,20,100,2,10,5,2500,10,0.05,0.5,0,1,33,150,0,1,1.0,0.0,0,93.8485,11.0089,2469.43,26.8209,5.75758,0.984251,215.333,3.22587,2.34733,0.343578,433.628,46.3196,7.07229,0.901687,3.80776,0.344096
37,30,100,2,10,5,2500,10,0.05,0.5,0,1,33,150,0,1,1.0,0.0,0,104.303,9.37245,2476.82,22.5541,6.18182,0.707107,379.091,3.3401,2.29513,0.299949,405.347,44.6205,6.69802,0.835889,4.05538,0.305186
53,40,100,2,10,5,2500,10,0.05,0.5,0,1,33,150,0,1,1.0,0.0,0,108.212,6.94513,2479.69,18.0474,6.24242,0.829156,540.667,3.47311,2.28214,0.276325,402.679,45.3079,6.62431,1.03956,4.26414,0.200167
69,50,100,2,10,5,2500,10,0.05,0.5,0,1,33,150,0,1,1.0,0.0,0,112.424,7.57475,2484.14,14.6418,6.24242,0.901388,703.303,4.0078,2.33979,0.412376,405.493,56.6978,6.68806,1.0277,4.41687,0.218912
85,60,100,2,10,5,2500,10,0.05,0.5,0,1,33,150,0,1,1.0,0.0,0,119.788,7.14912,2476.72,22.5519,6.33333,0.847791,866.242,3.52668,2.36382,0.302741,396.501,46.5727,6.82356,0.841795,4.41436,0.184483
101,70,100,2,10,5,2500,10,0.05,0.5,0,1,33,150,0,1,1.0,0.0,0,120.576,6.93735,2486.83,10.4924,6.78788,1.29904,1029.97,5.23808,2.21249,0.339819,374.309,55.1622,6.37523,1.0198,4.47125,0.159749
117,80,100,2,10,5,2500,10,0.05,0.5,0,1,33,150,0,1,1.0,0.0,0,124.061,6.79586,2484.2,13.968,6.57576,1.18585,1191.36,5.86835,2.30231,0.393282,387.03,61.8239,6.54062,1.06103,4.49291,0.134732
