seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
101,50,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,79.5152,17.1794,2438.2,49.2809,5.36364,1.08972,704.121,5.25595,2.88543,0.73551,473.955,109.358,2.88543,0.73551,0.0,0.0
117,100,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,104.788,17.2405,2433.76,47.5713,5.42424,1.19896,1515.27,5.28855,2.90905,0.67038,467.837,99.9759,2.90905,0.67038,0.0,0.0
133,150,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,116.152,16.6078,2452.13,43.8913,5.18182,1.11803,2329.12,7.85414,3.10397,0.733252,496.351,116.945,3.10397,0.733252,0.0,0.0
149,200,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,118.152,10.4884,2429.17,45.2008,5.39394,1.18585,3141.94,9.00174,2.95505,0.705455,471.2,108.363,2.95505,0.705455,0.0,0.0
165,250,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,123.212,10.5052,2429.44,43.6376,5.30303,1.06066,3958.21,10.4208,2.98651,0.622341,474.983,92.8567,2.98651,0.622341,0.0,0.0
181,300,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,129.758,7.98056,2433.3,50.3905,5.24242,1.03078,4766.7,10.1597,3.07273,0.649751,481.842,100.247,3.07273,0.649751,0.0,0.0
